,-,Rama,Rama,Rama,Rama,-,-,-,-,-,-,-,-,Disciplina,Disciplina,Disciplina,Disciplina,-,-,-,-,-,-,-,-
0,Institución,Total,Ciencias,Aplicadas,,Arquitectura,y,Diseño,,-,Astronomía,,-,Bioquímica,y,Farmacia,,Ciencias,Agropecuarias,,,-,Ciencias,del,Suelo
1,-,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
22,Centro Educativo Latinoamericano,293,47,246,12,-,-,-,-,-,-,-,-,-,-,-,-,189,35,154,12,104,12,92,0
23,Champagnat,244,51,193,16,132,34,98,7,-,-,-,-,-,-,-,-,-,-,-,-,112,17,95,9
24,Ciencias Empresariales y Sociales,301,96,205,15,200,50,150,15,-,-,-,-,-,-,-,-,-,-,-,-,101,46,55,0
25,Cine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Concepción del Uruguay,457,83,374,40,263,47,216,13,-,-,-,-,98,17,81,19,96,19,77,8,-,-,-,-
27,Congreso,135,45,90,9,135,45,90,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Cuenca del Plata,195,75,120,7,58,34,24,0,-,-,-,-,-,-,-,-,60,13,47,7,77,28,49,0
29,Empresarial Siglo 21,3.808,1.989,1.819,113,753,213,540,29,-,-,-,-,-,-,-,-,1.806,1.175,631,78,1249,601,648,6
30,Este,191,56,135,23,191,56,135,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,FASTA,2.344,798,1.546,93,-,-,-,-,-,-,-,-,-,-,-,-,2.133,784,1.349,66,211,14,197,27
32,Favaloro,233,38,195,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,6,0
33,Flores,947,208,739,131,705,172,533,37,-,-,-,-,-,-,-,-,242,36,206,94,-,-,-,-
34,Gastón Dachary,486,92,394,2,-,-,-,-,-,-,-,-,13,0,13,0,114,26,88,0,359,66,293,2
35,ISALUD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Juan Agustín Maza,838,131,707,27,-,-,-,-,471,66,405,3,-,-,-,-,180,40,140,24,10,0,10,0
37,Madres de Plaza de Mayo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Maimónides,327,45,282,15,-,-,-,-,294,38,256,15,-,-,-,-,-,-,-,-,33,7,26,0
39,Marina Mercante,916,206,710,27,-,-,-,-,-,-,-,-,-,-,-,-,208,59,149,8,156,37,119,4
40,Mendoza,2.930,517,2.413,255,2.058,365,1.693,205,-,-,-,-,-,-,-,-,329,64,265,6,340,62,278,27
41,Metropolitana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Morón,5.372,1.280,4.092,416,2.227,490,1.737,98,933,200,733,55,138,23,115,8,1.191,414,777,208,345,47,298,25
43,Museo Social Argentino,1,0,1,1,1,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,Norte Santo Tomás de Aquino,786,177,609,146,180,42,138,30,-,-,-,-,13,0,13,9,509,113,396,102,84,22,62,5
45,Palermo,6.320,1.933,4.387,621,5.122,1.523,3.599,546,-,-,-,-,-,-,-,-,181,52,129,7,890,254,636,68
46,Salvador,1.597,380,1.217,85,374,121,253,16,-,-,-,-,431,72,359,23,260,54,206,18,532,133,399,28
47,San Andrés,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,San Isidro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
