,-,Rama Rama Rama Rama,Rama Rama Rama Rama,Rama Rama Rama Rama,Rama Rama Rama Rama,-,x x,x x,-,-,x x x,x x x,x x x,x x x,Disciplina x x x x,Disciplina x x x x,Disciplina x x x x,Disciplina x x x x,Disciplina x x x x,-,-,-,-,-,-,-,-,-,-,-
0,Institución,Total,Ciencias,de,la,Salud,Medicina,x,-,-,Odontología,x,x,,Paramédicas,x,x,x,x,Salud,x,x,x,Sanidad,x,x,-,Veterinaria,x,-
1,-,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
41,Metropolitana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Morón,1.380,440,940,202,585,127,458,23,71,54,17,17,,724,259,465,162,-,-,-,-,-,-,-,-,-,-,-,-
43,Museo Social Argentino,248,54,194,43,-,-,-,-,-,-,-,-,-,248,54,194,43,-,-,-,-,-,-,-,-,-,-,-,-
44,Norte Santo Tomás de Aquino,1.051,201,850,100,-,-,-,-,-,-,-,-,-,1.051,201,850,100,-,-,-,-,-,-,-,-,-,-,-,-
45,Palermo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,Salvador,3.356,1.108,2.248,409,569,181,388,67,236,62,174,40,,1.921,709,1.212,268,-,-,-,-,-,-,-,-,630,156,474,34
47,San Andrés,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,San Isidro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,San Pablo - T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,Torcuato Di Tella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,Total de Institutos Universitarios,8.636,2.690,5.946,621,3483,989,2.494,262,57,18,39,0,,5.096,1.683,3.413,359,-,-,-,-,-,-,-,-,-,-,-,-
52,CEMIC,451,133,318,42,270,51,219,28,-,-,-,-,-,181,82,99,14,-,-,-,-,-,-,-,-,-,-,-,-
53,Cs de la Salud de la Fundación Barceló,4.713,1.528,3.185,368,2675,827,1.848,176,-,-,-,-,-,2.038,701,1.337,192,-,-,-,-,-,-,-,-,-,-,-,-
54,Escuela Argentina de Negocios,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,Escuela de Medicina del Hospital Italiano,362,74,288,46,216,39,177,23,-,-,-,-,-,146,35,111,23,-,-,-,-,-,-,-,-,-,-,-,-
56,Escuela Universitaria de Teología,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,ESEADE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,Gran Rosario,2.532,829,1.703,42,-,-,-,-,-,-,-,-,-,2.532,829,1.703,42,-,-,-,-,-,-,-,-,-,-,-,-
59,ISEDET,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,Italiano de Rosario,578,126,452,123,322,72,250,35,57,18,39,0,,199,36,163,88,-,-,-,-,-,-,-,-,-,-,-,-
61,ITBA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,River Plate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
