,-,-,-,-,-,-,-,-,-,-,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,-,-,-,-,-,-,-,-,-,-,-
0,Institución,-,Estadística,,-,,-,Industrias,,,Informática,,,,,Ingeniería,Meteorología,,,-,,,Otras,Ciencias,Aplicadas,
1,-,EST,NI,RE,EGRE,EST,-,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
50,Torcuato Di Tella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,Total Institutos Universitarios,-,-,-,-,771,-,150,621,138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,CEMIC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,Cs. De la Salud de laFundación Barceló,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,Escuela Argentina de Negocios,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,Escuela de Medicina del Hospital Italiano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,Escuela Universitaria de Teología,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,ESEADE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,Gran Rosario,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,ISEDET,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,Italiano de Rosario,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,ITBA,-,-,-,-,771,-,150,621,138,206,41,165,26,720,118,602,59,-,-,-,-,-,-,-,-
62,River Plate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
