,-,-,-,Total,-,-,-,Ciencias Aplicadas,Ciencias Aplicadas,-,-,Ciencias Básicas,Ciencias Básicas,-,-,Ciencias de la Salud,Ciencias de la Salud,-
0,Institución,-,-,-,-,-,-,-,,-,-,-,,-,-,-,,-
1,-,EST,NI,-,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
17,Católica de La Plata,8.643,1.791,-,6.852,533,888,192,696,35,-,-,-,-,1.590,417,1.173,57
18,Católica de Salta,25.650,6.058,-,19.592,1.542,3.495,976,2.519,189,12,0,12,6,473,124,349,16
19,Católica de Santa Fe,5.936,-,914,5.022,442,981,186,795,56,81,7,74,5,105,75,30,0
20,Católica de Santiago del Estero,7.156,1.678,-,5.478,373,570,145,425,52,-,-,-,-,-,-,-,-
21,CEMA,749,-,151,598,114,83,16,67,11,-,-,-,-,-,-,-,-
22,Centro Educativo Latinoamericano,3.976,-,811,3.165,373,293,47,246,12,-,-,-,-,878,116,762,74
23,Champagnat,2.846,-,328,2.518,267,244,51,193,16,11,0,11,2,-,-,-,-
24,Ciencias Empresariales y Sociales,14.551,4.396,-,10.155,1.076,301,96,205,15,-,-,-,-,426,160,266,45
25,Cine,1.312,-,416,896,100,-,-,-,-,-,-,-,-,-,-,-,-
26,Concepción del Uruguay,3.354,-,707,2.647,247,457,83,374,40,3,0,3,0,918,207,711,36
27,Congreso,2.423,-,682,1.741,179,135,45,90,9,77,19,58,4,-,-,-,-
28,Cuenca del Plata,6.871,1.610,-,5.261,504,195,75,120,7,-,-,-,-,898,226,672,67
29,Empresarial Siglo 21,49.949,21.791,-,28.158,2.720,3.808,1.989,1.819,113,203,148,55,1,-,-,-,-
30,Este,635,-,241,394,80,191,56,135,23,-,-,-,-,-,-,-,-
31,FASTA,8.141,2.584,-,5.557,482,2.344,798,1.546,93,55,10,45,7,1.562,315,1.247,81
32,Favaloro,1.502,-,465,1.037,263,233,38,195,18,125,37,88,14,1.003,343,660,224
33,Flores,4.369,1.172,-,3.197,401,947,208,739,131,53,23,30,11,-,-,-,-
34,Gastón Dachary,2.413,-,805,1.608,94,486,92,394,2,-,-,-,-,112,112,0,0
35,ISALUD,3.817,1.469,-,2.348,417,-,-,-,-,-,-,-,-,3.535,1.364,2.171,390
36,Juan Agustín Maza,3.274,-,750,2.524,310,838,131,707,27,-,-,-,-,1.320,277,1.043,139
37,Madres de Plaza de Mayo,327,-,124,203,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Maimónides,12.644,4.429,-,8.215,3.026,327,45,282,15,30,8,22,3,10.820,3.897,6.923,2.691
39,Marina Mercante,4.207,1.106,-,3.101,241,916,206,710,27,27,5,22,2,72,25,47,3
40,Mendoza,8.736,1.550,-,7.186,560,2.930,517,2.413,255,-,-,-,-,2.661,383,2.278,125
41,Metropolitana,399,-,399,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Morón,16.572,4.675,-,11.897,1.619,5.372,1.280,4.092,416,332,63,269,31,1.380,440,940,202
43,Museo Social Argentino,3.050,-,823,2.227,447,1,0,1,1,-,-,-,-,248,54,194,43
44,Norte Santo Tomás de Aquino,6.490,1.382,-,5.108,571,786,177,609,146,-,-,-,-,1.051,201,850,100
45,Palermo,13.182,4.185,-,8.997,1.257,6.320,1.933,4.387,621,-,-,-,-,-,-,-,-
46,Salvador,25.443,5.987,-,19.456,2.798,1.597,380,1.217,85,261,57,204,24,3.356,1.108,2.248,409
47,San Andrés,1.014,-,248,766,198,-,-,-,-,-,-,-,-,-,-,-,-
48,San Isidro,114,-,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,San Pablo -T,755,-,210,545,27,178,41,137,14,-,-,-,-,-,-,-,-
50,Torcuato Di Tella,1.173,-,359,814,192,174,44,130,17,-,-,-,-,-,-,-,-
51,Total Institutos Universitarios,12.517,3.849,-,8.668,1.047,1.785,328,1.457,233,0,0,0,0,8.636,2.690,5.946,621
52,CEMIC,451,-,133,318,42,-,-,-,-,-,-,-,-,451,133,318,42
53,Cs de la Salud de la Fundación Barceló,4.825,1.580,-,3.245,371,-,-,-,-,-,-,-,-,4.713,1.528,3.185,368
54,Escuela Argentina de Negocios,1.247,-,456,791,115,53,0,53,10,-,-,-,-,-,-,-,-
55,Escuela de Medicina del Hospital Italiano,397,-,93,304,46,35,19,16,0,-,-,-,-,362,74,288,46
56,Escuela Universitaria de Teología,87,-,25,62,3,-,-,-,-,-,-,-,-,-,-,-,-
57,ESEADE,116,-,52,64,11,-,-,-,-,-,-,-,-,-,-,-,-
58,Gran Rosario,2.752,-,943,1.809,42,-,-,-,-,-,-,-,-,2.532,829,1.703,42
59,ISEDET,56,-,6,50,47,-,-,-,-,-,-,-,-,-,-,-,-
60,Italiano de Rosario,659,-,150,509,123,-,-,-,-,-,-,-,-,578,126,452,123
61,ITBA,1.851,-,335,1.516,247,1.697,309,1.388,223,-,-,-,-,-,-,-,-
62,River Plate,76,-,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-
