cue,anexo,nombre_estab,lat,lng,municipio,Provincia,nivel,sector de gestión,Matricula est 5to,coords,zona_id
611387,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº16 ""HIPOLITO YRIGOYEN""",-34.969537,-57.983227,La Plata,Buenos Aires,Nivel Secundario,Estatal,82.0,"(-34.969537, -57.983227)",S000689
611387,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº16 ""HIPOLITO YRIGOYEN""",-34.969537,-57.983227,La Plata,Buenos Aires,Nivel Medio,Estatal,29.0,"(-34.969537, -57.983227)",S000689
608541,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº17,-34.920991,-57.923538,La Plata,Buenos Aires,Nivel Secundario,Estatal,62.0,"(-34.920991, -57.923538)",S000020
608541,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº17,-34.920991,-57.923538,La Plata,Buenos Aires,Nivel Medio,Estatal,13.0,"(-34.920991, -57.923538)",S000020
608986,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº22,-34.919933,-58.015273,La Plata,Buenos Aires,Nivel Secundario,Estatal,124.0,"(-34.919933, -58.015273)",S000690
608892,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº26,-34.919961,-57.935765,La Plata,Buenos Aires,Nivel Secundario,Estatal,86.0,"(-34.919961, -57.935765)",S000691
608846,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº27 ""GRACIELA PERNAS MARTINO""",-34.912278,-57.975258,La Plata,Buenos Aires,Nivel Secundario,Estatal,72.0,"(-34.912278, -57.975258)",S000692
608846,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº27 ""GRACIELA PERNAS MARTINO""",-34.912278,-57.975258,La Plata,Buenos Aires,Nivel Medio,Estatal,37.0,"(-34.912278, -57.975258)",S000692
606261,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº28 ""DANTE L. SEGUNDO PEREIRA""",-34.853349,-58.074543,La Plata,Buenos Aires,Nivel Secundario,Estatal,33.0,"(-34.853349, -58.074543000000006)",S000212
606261,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº28 ""DANTE L. SEGUNDO PEREIRA""",-34.853349,-58.074543,La Plata,Buenos Aires,Nivel Medio,Estatal,16.0,"(-34.853349, -58.074543000000006)",S000212
608977,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº31 ""GRAL JOSE DE SAN MARTIN""",-34.908362,-57.948372,La Plata,Buenos Aires,Nivel Secundario,Estatal,121.0,"(-34.908362, -57.948372)",S000095
608977,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº31 ""GRAL JOSE DE SAN MARTIN""",-34.908362,-57.948372,La Plata,Buenos Aires,Nivel Medio,Estatal,17.0,"(-34.908362, -57.948372)",S000095
606231,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº32 ""MARY O GRAHAM""",-34.922297,-57.956903,La Plata,Buenos Aires,Nivel Secundario,Estatal,150.0,"(-34.922297, -57.956903000000004)",S000096
608543,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº33 ""DARDO ROCHA""",-34.916296,-57.941768,La Plata,Buenos Aires,Nivel Secundario,Estatal,120.0,"(-34.916296, -57.941768)",S000010
608821,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº34 ""ALMAFUERTE""",-34.920291,-57.945108,La Plata,Buenos Aires,Nivel Secundario,Estatal,155.0,"(-34.920291, -57.945108)",S000010
616180,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº37,-34.904933,-58.046284,La Plata,Buenos Aires,Nivel Secundario,Estatal,31.0,"(-34.904933, -58.046284)",S000693
616180,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº37,-34.904933,-58.046284,La Plata,Buenos Aires,Nivel Medio,Estatal,9.0,"(-34.904933, -58.046284)",S000693
617011,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº38,-34.984279,-58.089017,La Plata,Buenos Aires,Nivel Secundario,Estatal,60.0,"(-34.984279, -58.089017000000005)",S000694
617011,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº38,-34.984279,-58.089017,La Plata,Buenos Aires,Nivel Medio,Estatal,20.0,"(-34.984279, -58.089017000000005)",S000694
617692,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº41 ""ESCUELA DEL BICENTENARIO""",-34.990121,-58.134773,La Plata,Buenos Aires,Nivel Secundario,Estatal,21.0,"(-34.990121, -58.134772999999996)",S000695
617720,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº42,-34.879616,-58.076188,La Plata,Buenos Aires,Nivel Secundario,Estatal,49.0,"(-34.879616, -58.076188)",S000696
617693,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº43,-34.97844,-57.865447,La Plata,Buenos Aires,Nivel Secundario,Estatal,22.0,"(-34.97844, -57.865446999999996)",S000697
617713,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº44,-34.940449,-57.940879,La Plata,Buenos Aires,Nivel Secundario,Estatal,46.0,"(-34.940449, -57.940879)",S000698
618831,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº45,-34.952122,-57.928879,La Plata,Buenos Aires,Nivel Secundario,Estatal,51.0,"(-34.952121999999996, -57.928879)",S000699
617319,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº46,-34.931729,-57.937838,La Plata,Buenos Aires,Nivel Secundario,Estatal,55.0,"(-34.931729, -57.937838)",S000097
617732,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº47,-34.887091,-58.058204,La Plata,Buenos Aires,Nivel Secundario,Estatal,18.0,"(-34.887091, -58.058204)",S000700
622341,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº48,-35.060257,-57.954592,La Plata,Buenos Aires,Nivel Secundario,Estatal,21.0,"(-35.060257, -57.954592000000005)",S000701
617723,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº49,-34.969399,-57.945122,La Plata,Buenos Aires,Nivel Secundario,Estatal,35.0,"(-34.969398999999996, -57.945122)",S000702
617735,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº50,-34.881925,-57.966088,La Plata,Buenos Aires,Nivel Secundario,Estatal,32.0,"(-34.881925, -57.966088)",S000703
617735,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº50,-34.881925,-57.966088,La Plata,Buenos Aires,Nivel Medio,Estatal,11.0,"(-34.881925, -57.966088)",S000703
617706,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº51,-34.988793,-57.958744,La Plata,Buenos Aires,Nivel Secundario,Estatal,26.0,"(-34.988793, -57.958743999999996)",S000704
617321,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº52,-34.957697,-57.947182,La Plata,Buenos Aires,Nivel Secundario,Estatal,42.0,"(-34.957696999999996, -57.947182)",S000705
617701,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº53,-35.009908,-58.001813,La Plata,Buenos Aires,Nivel Secundario,Estatal,50.0,"(-35.009908, -58.001813)",S000706
617714,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº54,-34.939833,-57.883582,La Plata,Buenos Aires,Nivel Secundario,Estatal,40.0,"(-34.939833, -57.883582)",S000707
617733,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº55,-34.930654,-57.925702,La Plata,Buenos Aires,Nivel Secundario,Estatal,45.0,"(-34.930654, -57.925702)",S000708
618980,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº56,-34.937534,-57.952765,La Plata,Buenos Aires,Nivel Secundario,Estatal,49.0,"(-34.937534, -57.952765)",S000709
622728,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº57,-34.902498,-58.076155,La Plata,Buenos Aires,Nivel Secundario,Estatal,16.0,"(-34.902498, -58.07615500000001)",S000710
622492,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº59,-34.873051,-58.019291,La Plata,Buenos Aires,Nivel Secundario,Estatal,16.0,"(-34.873051000000004, -58.019291)",S000711
622729,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº60,-35.023144,-58.230526,La Plata,Buenos Aires,Nivel Secundario,Estatal,12.0,"(-35.023144, -58.230526)",S000712
617716,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº61,-35.033011,-58.076452,La Plata,Buenos Aires,Nivel Secundario,Estatal,66.0,"(-35.033011, -58.076452)",S000713
617716,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº61,-35.033011,-58.076452,La Plata,Buenos Aires,Nivel Medio,Estatal,9.0,"(-35.033011, -58.076452)",S000713
618589,0,ESCUELA DE EDUCACION SECUNDARIA Nº62,-34.926821,-57.954678,La Plata,Buenos Aires,Nivel Secundario,Estatal,41.0,"(-34.926821000000004, -57.954678)",S000213
617705,0,ESCUELA DE EDUCACION SECUNDARIA Nº63,-34.868059,-58.058637,La Plata,Buenos Aires,Nivel Secundario,Estatal,16.0,"(-34.868059, -58.058637)",S000714
617320,0,ESCUELA DE EDUCACION SECUNDARIA Nº64,-34.928279,-57.966641,La Plata,Buenos Aires,Nivel Secundario,Estatal,66.0,"(-34.928278999999996, -57.966641)",S000051
617289,0,ESCUELA DE EDUCACION SECUNDARIA Nº65,-34.922958,-57.98653,La Plata,Buenos Aires,Nivel Secundario,Estatal,43.0,"(-34.922958, -57.98653)",S000715
617295,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº66,-34.920564,-57.92429,La Plata,Buenos Aires,Nivel Secundario,Estatal,34.0,"(-34.920564, -57.92429)",S000020
617729,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº67,-34.874125,-58.106316,La Plata,Buenos Aires,Nivel Secundario,Estatal,42.0,"(-34.874125, -58.10631600000001)",S000716
617711,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº68,-34.93188,-58.000091,La Plata,Buenos Aires,Nivel Secundario,Estatal,40.0,"(-34.93188, -58.000091000000005)",S000214
618450,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº70,-34.92211,-57.961048,La Plata,Buenos Aires,Nivel Secundario,Estatal,37.0,"(-34.922109999999996, -57.961048)",S000215
618981,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº71,-34.930822,-57.909203,La Plata,Buenos Aires,Nivel Secundario,Estatal,26.0,"(-34.930822, -57.909203000000005)",S000717
617734,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº72,-34.935713,-58.171153,La Plata,Buenos Aires,Nivel Secundario,Estatal,55.0,"(-34.935713, -58.171153000000004)",S000718
617699,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº73,-34.981293,-58.090756,La Plata,Buenos Aires,Nivel Secundario,Estatal,75.0,"(-34.981293, -58.090756000000006)",S000719
617322,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº74,-34.92896,-57.960044,La Plata,Buenos Aires,Nivel Secundario,Estatal,21.0,"(-34.92896, -57.960043999999996)",S000720
