;Universidad;Facultad;Domicilio
124;Universidad Nacional de General Sarmiento;Instituto del Desarrollo Humano;Juan María Gutierrez 1150 - Los Polvorines - Buenos Aires 
187;Universidad Nacional de Hurlingham;Instituto de Biotecnología;Vergara 2222 - Hurlingham - Buenos Aires 
188;Universidad Nacional de Hurlingham;Instituto de Educación;Vergara 2222 - Hurlingham - Buenos Aires 
189;Universidad Nacional de Hurlingham;Instituto de Salud Comunitaria;Vergara 2222 - Hurlingham - Buenos Aires 
186;Universidad Nacional de Hurlingham;Instituto de Tecnología e Ingeniería;Vergara 2222 - Hurlingham - Buenos Aires 
291;Universidad Nacional de La Matanza;Departamento de Ciencias Económicas;F.Varela 1903 - Villa Luzuriaga - Buenos Aires 
287;Universidad Nacional de La Matanza;Departamento de Ciencias de la Salud;Florencio Varela 1903 - Villa Luzuriaga - Buenos Aires 
286;Universidad Nacional de La Matanza;Departamento de Derecho y Ciencia Política;Florencio Varela 1903 - Villa Luzuriaga - Buenos Aires 
289;Universidad Nacional de La Matanza;Departamento de Humanidades y Ciencias Sociales;F.Varela 1903 - Villa Luzuriaga - Buenos Aires 
288;Universidad Nacional de La Matanza;Departamento de Ingeniería e Investigaciones Tecnológicas;F.Varela 1903 - Villa Luzuriaga - Buenos Aires 
290;Universidad Nacional de La Matanza;Escuela de Formación Continua;Varela 1903 - Villa Luzuriaga - Buenos Aires 
145;Universidad Nacional de La Plata;Escuela Universitaria de Recursos Humanos del Equipo de Salud;Calle 60 y 120 - - La Plata - Buenos Aires 
133;Universidad Nacional de La Plata;Facultad de Arquitectura y Urbanismo;Calle 47 (esq 117) 162 - La Plata - Buenos Aires 
134;Universidad Nacional de La Plata;Facultad de Bellas Artes;7 y 60 - - La Plata - Buenos Aires 
139;Universidad Nacional de La Plata;Facultad de Ciencias Agrarias y Forestales;Calle 60 esq. 119 - - La Plata - Buenos Aires 
135;Universidad Nacional de La Plata;Facultad de Ciencias Astronómicas y Geofísicas;Paseo del Bosque s/n - La Plata - Buenos Aires 
131;Universidad Nacional de La Plata;Facultad de Ciencias Económicas;6 Nro 777 - La Plata - Buenos Aires 
136;Universidad Nacional de La Plata;Facultad de Ciencias Exactas;115 y 47 - - La Plata - Buenos Aires 
