Comuna,1,2,3,4,5,6
1,2543,2407,2038,1849,1513,445
2,1181,1241,1108,933,786,49
3,2098,1835,1668,1557,1205,232
4,2610,2381,1935,1552,1263,342
5,1184,1164,961,795,832,122
6,1587,1649,1420,1189,989,125
7,1475,1328,1233,1018,843,220
8,2296,2028,1527,1308,883,103
9,1815,1616,1283,1071,938,265
10,1449,1318,1072,1024,794,351
11,1033,949,832,750,618,133
12,998,951,841,717,559,82
13,1234,1227,1096,927,780,278
14,930,1000,922,971,755,130
15,917,844,752,621,577,201
