Domicilio,Facultad,Municipio,Pais,Provincia,Universidad,index,lat,lng
Lavalle 333 - San Salvador De Jujuy - Jujuy ,Departamento Académico San Salvador,Dr Manuel Belgrano,ARG,Jujuy,Universidad Católica de Santiago del Estero,102,-24.1848793,-65.3028624
Av. Alsina Y Dalmacio Vélez Sarsfield s/n - Santiago Del Estero - Santiago Del Estero ,Facultad de Ciencias Económicas,Santiago del Estero,ARG,Santiago Del Estero,Universidad Católica de Santiago del Estero,104,-27.79951,-64.23934
Av. Alsina Y Dalmacio Vélez Sarsfield s/n - Santiago Del Estero - Santiago Del Estero ,"Facultad de Ciencias Políticas, Sociales y Jurídicas",Santiago del Estero,ARG,Santiago Del Estero,Universidad Católica de Santiago del Estero,104,-27.79951,-64.23934
Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias Económicas,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Belgrano,110,-34.5645538,-58.4441269
Av. Federico Lacroze 1955 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Estudios a Distancia y Educación Virtual,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Belgrano,112,-34.56598,-58.44103
Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Humanidades,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Belgrano,110,-34.5645538,-58.4441269
Av. San Martín 4453 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Agronomía,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,118,-34.59807,-58.48238
Puán 480 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Filosofía y Letras,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Buenos Aires,120,-34.62831,-58.4467
Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias Empresariales,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Ciencias Empresariales y Sociales,124,-34.5983,-58.38711
Av. Colón 90 - Mendoza - Mendoza ,Facultad Universidad de Congreso,Mendoza,ARG,Mendoza,Universidad de Congreso,126,-32.8947875,-68.8415264
Catamarca 147 - Mendoza - Mendoza ,Facultad de Ciencias Sociales y Administrativas,Mendoza,ARG,Mendoza,Universidad del Aconcagua,134,-32.8897488,-68.8362971
Catamarca 147 - Mendoza - Mendoza ,Rectorado,Mendoza,ARG,Mendoza,Universidad del Aconcagua,134,-32.8897488,-68.8362971
Av Cabildo 65 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad del Ejército,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de la Defensa Nacional,140,-34.57426,-58.43662
Gascón 3145 - Mar Del Plata - Buenos Aires ,Facultad de Ciencias Económicas,General Pueyrredón,ARG,Buenos Aires,Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino,142,-38.0031139,-57.5575811
Av. Rivadavia 2258 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Facultad de Ciencias Jurídicas, Sociales y de la Comunicación",Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de la Marina Mercante,144,-34.60968,-58.39841
9 de Julio 165 - San Miguel De Tucuman - Tucumán ,Facultad de Economía y Administración,San Miguel de Tucumán,ARG,Tucuman,Universidad del Norte Santo Tomás de Aquino,146,-26.82355,-65.26626
Champagnat 1599 - Pilar - Buenos Aires ,Complejo Educativo Nuestra Señora del Pilar,Pilar,ARG,Buenos Aires,Universidad del Salvador,150,-34.4391635,-58.9258488
Viamonte 2213 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Facultad de Historia, Geografía y Turismo",Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad del Salvador,154,-34.60109,-58.39894
Machado 854 - Moron - Buenos Aires ,Facultad de Ciencias Aplicadas al Turismo y la Población,Morón,ARG,Buenos Aires,Universidad de Morón,162,-34.6464148,-58.6204543
Larrea 1079 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias Económicas,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Palermo,170,-34.5951,-58.40122
Calle de los Latinos 8555 - Córdoba - Córdoba ,Grado,Córdoba,ARG,Cordoba,Universidad Empresarial Siglo 21,176,-31.33831,-64.21627
Salta 1968 - Posadas - Misiones ,Departamento de Ciencias Económicas y Empresariales,Posadas,ARG,Misiones,Universidad Gastón Dachary,184,-27.3714972,-55.8959452
Av de Acceso Este 2245 - San Jose (Dpto. Guaymallen) - Mendoza ,Facultad de Enología y Agroindustrias,Guaymallén,ARG,Mendoza,Universidad Juan Agustín Maza,186,-32.89729,-68.8119967
Hidalgo 775 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Facultad de Humanidades, Ciencias Sociales y Empresariales",Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Maimónides,188,-34.61049,-58.44105
Sarmiento 2037 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"FACULTAD DE TURISMO, EDUCACIÓN FÍSICA Y DEPORTES",Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Metropolitana para la Educación y el Trabajo,192,-34.6059,-58.39574
España 350 - Avellaneda - Buenos Aires ,Departamento de Ambiente y Turismo,Avellaneda,ARG,Buenos Aires,Universidad Nacional de Avellaneda,194,-34.6628049,-58.3722248
Avenida Belgrano 300 - San Fernando del Valle de Catamarca - Catamarca ,Facultad de Humanidades,San Fernando del Valle de Catamarca,ARG,Catamarca,Universidad Nacional de Catamarca,200,-28.4606102,-65.7832716
9 de Julio 22 - Chilecito - La Rioja ,Escuela de Ciencias Agrarias,Chilecito,ARG,La Rioja,Universidad Nacional de Chilecito,206,-29.17235,-67.49761
9 de Julio 22 - Chilecito - La Rioja ,Escuela de Desarrollo Local,Chilecito,ARG,La Rioja,Universidad Nacional de Chilecito,206,-29.17235,-67.49761
Av. Valparaíso - Cd. Universitaria S/N - Córdoba - Córdoba ,Facultad de Ciencias de la Comunicación,Córdoba,ARG,Cordoba,Universidad Nacional de Córdoba,214,-31.43697,-64.18558
Pabellón Residencial - C. Universitaria . - Córdoba - Córdoba ,Facultad de Filosofía y Humanidades,Córdoba,ARG,Cordoba,Universidad Nacional de Córdoba,216,-31.40598,-64.20536
Centro Univ. - Parque Gral. San Martín Sin nro. - Mendoza - Mendoza ,Facultad de Filosofía y Letras,Mendoza,ARG,Mendoza,Universidad Nacional de Cuyo,218,-32.88299,-68.876431
Campus Universitario Múltiple-Alem y 25 630 - San Martin - Mendoza ,Facultad de Filosofía y Letras - Delegación Zona Este,San Martín,ARG,Mendoza,Universidad Nacional de Cuyo,226,-33.06729,-68.46847
Monseñor Tavella 1424 - Concordia - Entre Ríos ,Facultad de Ciencias de la Administración,Concordia,ARG,Entre Rios,Universidad Nacional de Entre Ríos,228,-31.3819795,-58.0221716
Avenida Gobernador Gutnisky 3200 - Formosa - Formosa ,Facultad de Humanidades,Formosa,ARG,Formosa,Universidad Nacional de Formosa,230,-26.1292902,-58.1494648
Avda. San Martín y Rivadavia s/n - Laguna Blanca - Formosa ,Facultad de la Producción y Medio Ambiente,Pilcomayo,ARG,Formosa,Universidad Nacional de Formosa,234,-25.13376,-58.2433
Juan María Gutierrez 1150 - Los Polvorines - Buenos Aires ,Instituto del Conurbano,Malvinas Argentinas,ARG,Buenos Aires,Universidad Nacional de General Sarmiento,236,-34.5208625,-58.7003265
29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires ,Departamento de Desarrollo Productivo y Tecnológico,Lanús,ARG,Buenos Aires,Universidad Nacional de Lanús,238,-34.7342286,-58.3901502
C.Gil 353 - Santa Rosa - La Pampa ,Facultad de Ciencias Humanas,Santa Rosa,ARG,La Pampa,Universidad Nacional de La Pampa,244,-36.6205311,-64.28991
RUTA NACIONAL 3 - ACC. NORTE 9011 - Caleta Olivia - Santa Cruz ,UNIDAD ACADEMICA CALETA OLIVIA,Deseado,ARG,Santa Cruz,Universidad Nacional de la Patagonia Austral,252,-46.44555,-67.5103199
COLON esq. SARMIENTO - Bº 200 VIV. s/n - Puerto San Julian - Santa Cruz ,UNIDAD ACADEMICA PUERTO SAN JULIAN,Magallanes,ARG,Santa Cruz,Universidad Nacional de la Patagonia Austral,260,-49.3139284,-67.7187486
LISANDRO DE LA TORRE 1070 - Rio Gallegos - Santa Cruz ,UNIDAD ACADEMICA RIO GALLEGOS,Güer Aike,ARG,Santa Cruz,Universidad Nacional de la Patagonia Austral,268,-51.6221036,-69.2551571
AV. DE LOS MINEROS 1260 - El Turbio - Santa Cruz ,UNIDAD ACADEMICA RIO TURBIO,Güer Aike,ARG,Santa Cruz,Universidad Nacional de la Patagonia Austral,280,-51.67383,-72.0982499
