index,Universidad,Facultad,coords_o,coords_d,distance_km,ranking
892,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería -sede Avellaneda,"(-34.559053999999996, -58.536801000000004)","(-34.6652447, -58.3531077)",20.5576698217,12.0
892,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería - sede CABA,"(-34.559053999999996, -58.536801000000004)","(-34.61257, -58.41826)",12.3904689299,6.0
892,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería - sede Hurlingham,"(-34.559053999999996, -58.536801000000004)","(-34.6160779, -58.63658050000001)",11.1272062022,5.0
892,Universidad Nacional de Quilmes,Departamento de Ciencia y Tecnología,"(-34.559053999999996, -58.536801000000004)","(-34.70629, -58.27705)",28.8801360399,18.0
892,Universidad Nacional de Tres de Febrero,Secretaría Académica,"(-34.559053999999996, -58.536801000000004)","(-34.6049368, -58.564289)",5.68047743391,1.0
892,Universidad Provincial de Ezeiza,Departamento de Desarrollo Humano y Organizacional,"(-34.559053999999996, -58.536801000000004)","(-34.7892088, -58.525405799999994)",25.5534853448,17.0
892,Universidad Tecnológica Nacional,Facultad Regional Avellaneda,"(-34.559053999999996, -58.536801000000004)","(-34.694951, -58.327523)",24.4041492655,14.0
892,Universidad Tecnológica Nacional,Facultad Regional Buenos Aires,"(-34.559053999999996, -58.536801000000004)","(-34.68477, -58.44631)",16.2284014733,9.5
892,Universidad Tecnológica Nacional,Facultad Regional Delta,"(-34.559053999999996, -58.536801000000004)","(-34.1787535, -58.96185079999999)",57.5177792606,21.0
892,Universidad Tecnológica Nacional,Facultad Regional Haedo,"(-34.559053999999996, -58.536801000000004)","(-34.64042070000001, -58.601492099999994)",10.8022069685,3.0
892,Universidad Tecnológica Nacional,Facultad Regional La Plata,"(-34.559053999999996, -58.536801000000004)","(-35.0313299, -58.06411)",67.9430574689,23.0
893,Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Oficiales,"(-34.559053999999996, -58.536801000000004)","(-34.0940568, -59.0199532)",68.1005664294,24.5
893,Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Suboficiales,"(-34.559053999999996, -58.536801000000004)","(-34.0940568, -59.0199532)",68.1005664294,24.5
893,Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,"(-34.559053999999996, -58.536801000000004)","(-34.54684, -58.43995)",8.99183573723,2.0
893,Universidad de Buenos Aires,Facultad de Farmacia y Bioquímica,"(-34.559053999999996, -58.536801000000004)","(-34.597903, -58.397458400000005)",13.4920225505,7.0
893,Universidad de Buenos Aires,Facultad de Ingeniería,"(-34.559053999999996, -58.536801000000004)","(-34.68477, -58.44631)",16.2284014733,9.5
893,Universidad Nacional Arturo Jauretche,Instituto de Ingeniería y Agronomía,"(-34.559053999999996, -58.536801000000004)","(-34.796310600000005, -58.27863860000001)",35.390645074,19.0
893,Universidad Nacional de Avellaneda,Departamento de Tecnología y Administración,"(-34.559053999999996, -58.536801000000004)","(-34.6628049, -58.372224800000005)",18.981962933,11.0
893,Universidad Nacional de General Sarmiento,Instituto de Industria,"(-34.559053999999996, -58.536801000000004)","(-34.5208625, -58.7003265)",15.5974254684,8.0
893,Universidad Nacional de Hurlingham,Instituto de Biotecnología,"(-34.559053999999996, -58.536801000000004)","(-34.6164566, -58.6342231)",10.974276073,4.0
893,Universidad Nacional de Lanús,Departamento de Desarrollo Productivo y Tecnológico,"(-34.559053999999996, -58.536801000000004)","(-34.7342286, -58.3901502)",23.6304251147,13.0
893,Universidad Nacional de La Plata,Facultad de Ciencias Exactas,"(-34.559053999999996, -58.536801000000004)","(-34.8478691, -58.082593599999996)",52.518168747,20.0
893,Universidad Nacional de La Plata,Facultad de Ingeniería,"(-34.559053999999996, -58.536801000000004)","(-34.8995898, -57.9386198)",66.5479335095,22.0
893,Universidad Nacional de Lomas de Zamora,Facultad de Derecho,"(-34.559053999999996, -58.536801000000004)","(-34.7418695, -58.372106099999996)",25.2835496158,15.5
893,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería,"(-34.559053999999996, -58.536801000000004)","(-34.7418695, -58.372106099999996)",25.2835496158,15.5
893,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería -sede Avellaneda,"(-34.559053999999996, -58.536801000000004)","(-34.6652447, -58.3531077)",20.5576698217,12.0
893,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería - sede CABA,"(-34.559053999999996, -58.536801000000004)","(-34.61257, -58.41826)",12.3904689299,6.0
893,Universidad Nacional de Lomas de Zamora,Facultad de Ingeniería - sede Hurlingham,"(-34.559053999999996, -58.536801000000004)","(-34.6160779, -58.63658050000001)",11.1272062022,5.0
893,Universidad Nacional de Quilmes,Departamento de Ciencia y Tecnología,"(-34.559053999999996, -58.536801000000004)","(-34.70629, -58.27705)",28.8801360399,18.0
893,Universidad Nacional de Tres de Febrero,Secretaría Académica,"(-34.559053999999996, -58.536801000000004)","(-34.6049368, -58.564289)",5.68047743391,1.0
893,Universidad Provincial de Ezeiza,Departamento de Desarrollo Humano y Organizacional,"(-34.559053999999996, -58.536801000000004)","(-34.7892088, -58.525405799999994)",25.5534853448,17.0
893,Universidad Tecnológica Nacional,Facultad Regional Avellaneda,"(-34.559053999999996, -58.536801000000004)","(-34.694951, -58.327523)",24.4041492655,14.0
893,Universidad Tecnológica Nacional,Facultad Regional Buenos Aires,"(-34.559053999999996, -58.536801000000004)","(-34.68477, -58.44631)",16.2284014733,9.5
893,Universidad Tecnológica Nacional,Facultad Regional Delta,"(-34.559053999999996, -58.536801000000004)","(-34.1787535, -58.96185079999999)",57.5177792606,21.0
893,Universidad Tecnológica Nacional,Facultad Regional Haedo,"(-34.559053999999996, -58.536801000000004)","(-34.64042070000001, -58.601492099999994)",10.8022069685,3.0
893,Universidad Tecnológica Nacional,Facultad Regional La Plata,"(-34.559053999999996, -58.536801000000004)","(-35.0313299, -58.06411)",67.9430574689,23.0
895,Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Oficiales,"(-34.590984999999996, -58.526314)","(-34.0940568, -59.0199532)",71.425678673,24.5
895,Instituto Universitario de Seguridad Marítima,Departamento Académico Escuela de Suboficiales,"(-34.590984999999996, -58.526314)","(-34.0940568, -59.0199532)",71.425678673,24.5
895,Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,"(-34.590984999999996, -58.526314)","(-34.54684, -58.43995)",9.31609309571,3.0
895,Universidad de Buenos Aires,Facultad de Farmacia y Bioquímica,"(-34.590984999999996, -58.526314)","(-34.597903, -58.397458400000005)",11.8456192543,7.0
895,Universidad de Buenos Aires,Facultad de Ingeniería,"(-34.590984999999996, -58.526314)","(-34.68477, -58.44631)",12.7299159699,8.5
895,Universidad Nacional Arturo Jauretche,Instituto de Ingeniería y Agronomía,"(-34.590984999999996, -58.526314)","(-34.796310600000005, -58.27863860000001)",32.1532842622,19.0
895,Universidad Nacional de Avellaneda,Departamento de Tecnología y Administración,"(-34.590984999999996, -58.526314)","(-34.6628049, -58.372224800000005)",16.2214650177,10.0
895,Universidad Nacional de General Sarmiento,Instituto de Industria,"(-34.590984999999996, -58.526314)","(-34.5208625, -58.7003265)",17.7643301768,11.0
895,Universidad Nacional de Hurlingham,Instituto de Biotecnología,"(-34.590984999999996, -58.526314)","(-34.6164566, -58.6342231)",10.2935057589,5.0
895,Universidad Nacional de Lanús,Departamento de Desarrollo Productivo y Tecnológico,"(-34.590984999999996, -58.526314)","(-34.7342286, -58.3901502)",20.2060996333,13.0
895,Universidad Nacional de La Plata,Facultad de Ciencias Exactas,"(-34.590984999999996, -58.526314)","(-34.8478691, -58.082593599999996)",49.6392201922,20.0
895,Universidad Nacional de La Plata,Facultad de Ingeniería,"(-34.590984999999996, -58.526314)","(-34.8995898, -57.9386198)",63.7817763063,22.0
895,Universidad Nacional de Lomas de Zamora,Facultad de Derecho,"(-34.590984999999996, -58.526314)","(-34.7418695, -58.372106099999996)",21.9076944232,15.5
