Domicilio,Facultad,Municipio,Pais,Provincia,Universidad,index,lat,lng,coords,zona_id
9 de Julio 165 - San Miguel De Tucuman - Tucumán ,Facultad de Economía y Administración,San Miguel de Tucumán,ARG,Tucuman,Universidad del Norte Santo Tomás de Aquino,146,-26.82355,-65.26626,"(-26.82355, -65.26626)",U00076
Champagnat 1599 - Pilar - Buenos Aires ,Complejo Educativo Nuestra Señora del Pilar,Pilar,ARG,Buenos Aires,Universidad del Salvador,150,-34.4391635,-58.9258488,"(-34.4391635, -58.925848800000004)",U00077
Viamonte 2213 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Facultad de Historia, Geografía y Turismo",Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad del Salvador,154,-34.60109,-58.39894,"(-34.60109, -58.39894)",U00001
Machado 854 - Moron - Buenos Aires ,Facultad de Ciencias Aplicadas al Turismo y la Población,Morón,ARG,Buenos Aires,Universidad de Morón,162,-34.6464148,-58.6204543,"(-34.646414799999995, -58.62045429999999)",U00022
Larrea 1079 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,Facultad de Ciencias Económicas,Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad de Palermo,170,-34.5951,-58.40122,"(-34.5951, -58.401219999999995)",U00001
Calle de los Latinos 8555 - Córdoba - Córdoba ,Grado,Córdoba,ARG,Cordoba,Universidad Empresarial Siglo 21,176,-31.33831,-64.21627,"(-31.338309999999996, -64.21627)",U00078
Salta 1968 - Posadas - Misiones ,Departamento de Ciencias Económicas y Empresariales,Posadas,ARG,Misiones,Universidad Gastón Dachary,184,-27.3714972,-55.8959452,"(-27.3714972, -55.89594520000001)",U00023
Av de Acceso Este 2245 - San Jose (Dpto. Guaymallen) - Mendoza ,Facultad de Enología y Agroindustrias,Guaymallén,ARG,Mendoza,Universidad Juan Agustín Maza,186,-32.8993692,-68.8119967,"(-32.899369199999995, -68.81199670000001)",U00079
Hidalgo 775 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Facultad de Humanidades, Ciencias Sociales y Empresariales",Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Maimónides,188,-34.61049,-58.44105,"(-34.610490000000006, -58.44105)",U00080
Sarmiento 2037 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"FACULTAD DE TURISMO, EDUCACIÓN FÍSICA Y DEPORTES",Ciudad de Buenos Aires,ARG,Ciudad Autonoma De Buenos Aires,Universidad Metropolitana para la Educación y el Trabajo,192,-34.6059,-58.39574,"(-34.6059, -58.39574)",U00012
España 350 - Avellaneda - Buenos Aires ,Departamento de Ambiente y Turismo,Avellaneda,ARG,Buenos Aires,Universidad Nacional de Avellaneda,194,-34.6628049,-58.3722248,"(-34.6628049, -58.372224800000005)",U00081
Avenida Belgrano 300 - San Fernando del Valle de Catamarca - Catamarca ,Facultad de Humanidades,San Fernando del Valle de Catamarca,ARG,Catamarca,Universidad Nacional de Catamarca,200,-28.4606102,-65.7832716,"(-28.4606102, -65.7832716)",U00024
9 de Julio 22 - Chilecito - La Rioja ,Escuela de Ciencias Agrarias,Chilecito,ARG,La Rioja,Universidad Nacional de Chilecito,206,-29.17235,-67.49761,"(-29.17235, -67.49761)",U00082
9 de Julio 22 - Chilecito - La Rioja ,Escuela de Desarrollo Local,Chilecito,ARG,La Rioja,Universidad Nacional de Chilecito,206,-29.17235,-67.49761,"(-29.17235, -67.49761)",U00082
