Universidad,Facultad,Direccion
Universidad Tecnológica Nacional,Facultad Regional General Pacheco,Dirección: Hipólito Yrigoyen 288 - Gral. Pacheco - Buenos Aires 
Universidad Tecnológica Nacional,Facultad Regional Haedo,Dirección: París 532 - Haedo - Buenos Aires 
Universidad Tecnológica Nacional,Facultad Regional Avellaneda,Dirección: Ramón Franco 5050 - Villa Dominico - Buenos Aires 
Universidad Tecnológica Nacional,Facultad Regional Buenos Aires Campus,"Dirección: Mozart 2300, C1407  Ciudad Autonoma de Buenos Aires "
Universidad Tecnológica Nacional,Facultad Regional Buenos Aires,Dirección: Medrano 951 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Departamento de Ciencia Política y Estudios Internacionales,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Departamento de Economía,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Departamento de Historia,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Escuela de Arquitectura y Estudios Urbanos,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Escuela de Derecho,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Escuela de Gobierno,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Escuela de Negocios,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Escuela de Lenguas Modernas,Dirección: Lavalle 1878 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,"Facultad de Filosofía, Letras y Estudios Orientales",Dirección: Lavalle 1878 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Escuela de Diseño,Dirección: Rodriguez Peña 670 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Salvador,Escuela de Estudios Orientales,Dirección: Rodriguez Peña 670 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario Escuela Argentina de Negocios,Unidad Académica Capital Federal - Sede Central,Dirección: Av. Cordoba 1690 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias de la Comunicación,Dirección: Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias de la Salud,Dirección: Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias Económicas,Dirección: Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias Empresariales,Dirección: Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias Jurídicas y Políticas,Dirección: Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Facultad de Psicología y Ciencias Sociales,Dirección: Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
"Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""",Departamento de Humanidades,Dirección: 25 Mayo 544 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario Nacional del Arte,Departamento de Artes Musicales y Sonoras Carlos Lopez Buchardo,Dirección: Avda Cordoba 2445 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de las Artes,Departamento de Artes Musicales y Sonoras,Dirección: Avda Cordoba 2445 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Metropolitana para la Educación y el Trabajo,Facultad de Cultura y Comunicación,Dirección: Sarmiento 2037 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Metropolitana para la Educación y el Trabajo,FACULTAD DE DESARROLLO Y GESTIÓN DE LAS ORGANIZACIONES,
Universidad Metropolitana para la Educación y el Trabajo,Facultad de Pedagogía,
Universidad Metropolitana para la Educación y el Trabajo,Facultad de Políticas Públicas y Gestión Ambiental,
Universidad Metropolitana para la Educación y el Trabajo,FACULTAD DE TECNOLOGÍA APLICADA,
Universidad Metropolitana para la Educación y el Trabajo,"FACULTAD DE TURISMO, EDUCACIÓN FÍSICA Y DEPORTES",
Universidad del Salvador,Facultad de Ciencias Sociales,
Universidad Nacional de San Martín,Escuela de Humanidades - Centro,Dirección: Av. Roque Sáenz Peña 832 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Motricidad Humana y Deportes,Dirección: Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Filosofía y Letras,Dirección: Av.Alicia Moreau de 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Marina Mercante,"Facultad de Ciencias Jurídicas, Sociales y de la Comunicación",Dirección: Av. Rivadavia 2258 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Marina Mercante,Facultad de Humanidades,
Universidad del Norte Santo Tomás de Aquino,Centro de Estudios de Filosofia y Teologia de la Orden de Predicadores,Dirección: Pasaje 5 de Julio 489 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Cine,Facultad de Ciencias de la Comunicación,Dirección: Pasaje J M Giuffra 330 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad del Cine,Facultad de Cinematografía,Dirección: Pasaje J M Giuffra 330 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario de Gendarmería Nacional,Unidad Académica de Grado y Posgrado Escuela Superior Gral. de Brig. Manuel María Calderón,Dirección: Av. Paseo Colón 533 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Provincial de Ezeiza,Departamento de Desarrollo Aeroportuario,Dirección: Alfonsina Storni 41 - Ezeiza - Buenos Aires 
Universidad Provincial de Ezeiza,Departamento de Desarrollo Humano y Organizacional,Dirección: Alfonsina Storni 41 - Ezeiza - Buenos Aires 
Universidad Provincial de Ezeiza,Departamento de Desarrollo Tecnológico,Dirección: Alfonsina Storni 41 - Ezeiza - Buenos Aires 
Universidad Católica de La Plata,Unidad Académica Bernal - Facultad de Arquitectura y Diseño,Dirección: 25 de Mayo 51 - Bernal - Buenos Aires 
Universidad Católica de La Plata,Unidad Académica Bernal - Facultad de Ciencias Económicas y Sociales,Dirección: 25 de Mayo 51 - Bernal - Buenos Aires 
Universidad Católica de La Plata,Unidad Académica Bernal - Facultad de Derecho y Ciencias Políticas,Dirección: 25 de Mayo 51 - Bernal - Buenos Aires 
