Universidad,Facultad,Direccion
Universidad Abierta Interamericana,Facultad de Medicina y Ciencias de la Salud,Dirección: Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Psicología y Relaciones Humanas,Dirección: Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina de la Empresa,Escuela de Dirección de Empresas,Dirección: Libertad 1340 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina de la Empresa,Facultad de Ciencias Económicas,Dirección: Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina John F. Kennedy,Escuela de Sistemas,Dirección: Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina John F. Kennedy,Facultad de Ciencias de la Salud,Dirección: Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina John F. Kennedy,Facultad de Ciencias Económicas y Empresariales,Dirección: Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina John F. Kennedy,Facultad de Ciencias Psicológicas,Dirección: Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina John F. Kennedy,"Facultad de Ciencias Sociales, Jurídicas y Humanas",Dirección: Bartolomé Mitre 1411 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Facultad de Ciencias Biomédicas,Dirección: Juan Domingo Perón 1500 -ex - Pilar - Buenos Aires 
Universidad Austral,Facultad de Ingeniería,Dirección: Mariano Acosta 1901 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Escuela de Educación,Dirección: Cerrito 1250 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Facultad de Comunicación,Dirección: Cerrito 1250 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Facultad de Derecho,Dirección: Cerrito 1250 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Austral,Instituto de Ciencias para la Familia,Dirección: Mariano Acosta 1611 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad CAECE,Departamento de Humanidades y Ciencias Sociales,Dirección: Junín 516 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad CAECE,Departamento de Psicología y Ciencias Pedagógicas,Dirección: Av. de Mayo 866 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad CAECE,Departamento de Sistemas,Dirección: Av. de Mayo 866 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Católica de La Plata,Facultad de Derecho y Ciencias Políticas,Dirección: 57 936 - La Plata - Buenos Aires 
Universidad Católica de Santiago del Estero,Departamento Académico Buenos Aires,Dirección: Corrientes 180 - Olivos - Buenos Aires 
Universidad de Belgrano,Facultad de Arquitectura y Urbanismo,Dirección: Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Humanidades,Dirección: Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Ciencias de la Salud,Dirección: Villanueva 1324 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Ciencias Exactas y Naturales,Dirección: Villanueva 1324 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Ciencias Económicas,Dirección: Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Derecho y Ciencias Sociales,Dirección: Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Ciencias Agrarias,Dirección: Federico Lacroze 1955 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Estudios para Graduados,Dirección: Lavalle 485 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Arquitectura Diseño y Urbanismo,Dirección: Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,Dirección: Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Agronomía,Dirección: Av. San Martín 4453 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ciencias Veterinarias,Dirección: Chorroarín 280 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Filosofía y Letras,Dirección: Puán 480 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Derecho,Dirección: Av.Pte.F.Alcorta 2263 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Psicología,Dirección: Hipólito Irigoyen 3238 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Rectorado,Dirección: Viamonte 430 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Odontología,Dirección: MarceloT.de Alvear 2142 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Farmacia y Bioquímica,Dirección: Junín 954 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Medicina,Dirección: Paraguay 2155 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ciencias Económicas,Dirección: Av. Córdoba 2122 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ciencias Sociales,Dirección: Marcelo T. de Alvear 2230 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ingeniería,Dirección: Paseo Colón 850 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Departamento de Posgrados,Dirección: Paraguay 1338 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,UCES San Isidro,
Universidad de Ciencias Empresariales y Sociales,UCES Olivos,Dirección: Roma 650 - Olivos - Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Sede Cañuelas,Dirección: Hipólito Yrigoyen 405 - La Noria - Buenos Aires 
Universidad de Flores,Facultad de Actividad Física y Deporte,Dirección: Pedernera 275 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Defensa Nacional,Facultad del Ejército,Dirección: Av Cabildo 65 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Defensa Nacional,Facultad de la Armada,Dirección: Maipú 262 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de la Defensa Nacional,Facultad de la Fuerza Aérea,Dirección: Maipú 262 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Morón,"Facultad de Derecho, Ciencias Políticas y Sociales",Dirección: Machado 854 - Moron - Buenos Aires 
Universidad de Morón,Facultad de Medicina,Dirección: Machado 854 - Moron - Buenos Aires 
Universidad de Palermo,Facultad de Ciencias Sociales,Dirección: Mario Bravo 1259 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Palermo,Facultad de Derecho,Dirección: Mario Bravo 1050 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Palermo,Facultad de Diseño y Comunicación,Dirección: Mario Bravo 1050 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
