Universidad,Sede,Direccion
Universidad Nacional Arturo Jauretche,,"Dirección: Diagonal Obispo J. Novak 4501, Berazategui, Pcia de Buenos Aires "
Universidad Nacional Arturo Jauretche,,"Dirección: Av. Calchaquí 6200, B1888 Florencio Varela, Pcia de Buenos Aires"
Universidad Provincial de Ezeiza,,Alfonsina Storni 41 - CP 1802 - Ezeiza - Buenos Aires
Universidad Nacional de Tres de Febrero,Aromos,"Dirección: De los Aromos 6231, B1684BYG Cdad. Jardin Lomas de Palomar, Buenos Aires"
Universidad Nacional de Tres de Febrero,Caseros I,"Dirección: Valentín Gómez 4828/38, Caseros, Pcia de Buenos Aires"
Universidad Nacional de La Matanza,,"Dirección: Florencio Varela 1903 (B1754JEC), San Justo, Buenos Aires, Argentina"
,,
Instituto Universitario CEMIC,Unidad Académica Escuela de Medicina,Dirección: Av. E. Galván 4102 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Instituto Universitario CEMIC,Unidad Académica Instituto de Investigaciones,Dirección: Av. E. Galván 4102 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Departamento de Ciencia Política y Estudios Internacionales,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Departamento de Economía,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Departamento de Historia,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Escuela de Arquitectura y Estudios Urbanos,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Escuela de Derecho,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Escuela de Gobierno,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Torcuato Di Tella,Escuela de Negocios,Dirección: Av. Figueroa Alcorta 7350 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Arquitectura Diseño y Urbanismo,Dirección: Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,Dirección: Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Arquitectura y Urbanismo,Dirección: Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Humanidades,Dirección: Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
