Comuna,1,2,3,4,5,6
1,1351,1238,1346,1167,983,154
2,864,824,819,762,754,
3,1275,1143,1073,975,868,
4,1027,887,909,673,634,
5,1558,1513,1369,1306,1198,58
6,1360,1290,1297,1239,1110,
7,953,872,840,761,647,
8,1026,933,835,659,597,59
9,1716,1608,1510,1342,1225,61
10,1295,1300,1264,1131,965,34
11,1185,1198,1311,1173,1073,
12,1479,1410,1330,1164,1080,
13,2407,2403,2406,2299,2065,20
14,1372,1395,1373,1258,1204,17
15,664,641,638,589,511,
