Domicilio,Facultad,Municipio,Pais,Provincia,Universidad,index,lat,lng,Ámbito,coords_d,zona_id
España 350 - Avellaneda - Buenos Aires ,"Departamento de Arquitectura, Diseño y Urbanismo",Avellaneda,ARG,Buenos Aires,Universidad Nacional de Avellaneda,194,-34.6628049,-58.3722248,Público,"(-34.6628049, -58.372224800000005)",1
España 350 - Avellaneda - Buenos Aires ,Departamento de Humanidades y Artes,Avellaneda,ARG,Buenos Aires,Universidad Nacional de Avellaneda,194,-34.6628049,-58.3722248,Público,"(-34.6628049, -58.372224800000005)",1
España 350 - Avellaneda - Buenos Aires ,Departamento de Ciencias Sociales,Avellaneda,ARG,Buenos Aires,Universidad Nacional de Avellaneda,194,-34.6628049,-58.3722248,Público,"(-34.6628049, -58.372224800000005)",1
España 350 - Avellaneda - Buenos Aires ,Departamento de Tecnología y Administración,Avellaneda,ARG,Buenos Aires,Universidad Nacional de Avellaneda,194,-34.6628049,-58.3722248,Público,"(-34.6628049, -58.372224800000005)",1
España 350 - Avellaneda - Buenos Aires ,Departamento de Salud y Actividad Física,Avellaneda,ARG,Buenos Aires,Universidad Nacional de Avellaneda,194,-34.6628049,-58.3722248,Público,"(-34.6628049, -58.372224800000005)",1
Juan María Gutierrez 1150 - Los Polvorines - Buenos Aires ,Instituto del Conurbano,Malvinas Argentinas,ARG,Buenos Aires,Universidad Nacional de General Sarmiento,236,-34.5208625,-58.7003265,Público,"(-34.5208625, -58.7003265)",4
Juan María Gutierrez 1150 - Los Polvorines - Buenos Aires ,Instituto del Desarrollo Humano,Malvinas Argentinas,ARG,Buenos Aires,Universidad Nacional de General Sarmiento,236,-34.5208625,-58.7003265,Público,"(-34.5208625, -58.7003265)",4
Juan María Gutierrez 1150 - Los Polvorines - Buenos Aires ,Instituto de Industria,Malvinas Argentinas,ARG,Buenos Aires,Universidad Nacional de General Sarmiento,236,-34.5208625,-58.7003265,Público,"(-34.5208625, -58.7003265)",4
Juan María Gutierrez 1150 1150 - Los Polvorines - Buenos Aires ,Instituto de Ciencias,Malvinas Argentinas,ARG,Buenos Aires,Universidad Nacional de General Sarmiento,4364,-34.5208625,-58.7003265,Público,"(-34.5208625, -58.7003265)",4
29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires ,Departamento de Desarrollo Productivo y Tecnológico,Lanús,ARG,Buenos Aires,Universidad Nacional de Lanús,238,-34.7342286,-58.3901502,Público,"(-34.7342286, -58.3901502)",5
29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires ,Departamento de Humanidades y Artes,Lanús,ARG,Buenos Aires,Universidad Nacional de Lanús,238,-34.7342286,-58.3901502,Público,"(-34.7342286, -58.3901502)",5
29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires ,Departamento de Planificación y Políticas Públicas,Lanús,ARG,Buenos Aires,Universidad Nacional de Lanús,238,-34.7342286,-58.3901502,Público,"(-34.7342286, -58.3901502)",5
29 de Septiembre 3901 - Remedios de Escalada - Buenos Aires ,Departamento de Salud Comunitaria,Lanús,ARG,Buenos Aires,Universidad Nacional de Lanús,238,-34.7342286,-58.3901502,Público,"(-34.7342286, -58.3901502)",5
6 Nro 777 - La Plata - Buenos Aires ,Facultad de Ciencias Económicas,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,298,-35.0474,-58.13752,Público,"(-35.0474, -58.137519999999995)",41
48 e/ 6 y 7 s/n - La Plata - Buenos Aires ,Facultad de Humanidades y Ciencias de la Educación,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,300,-34.9003139,-57.9668758,Público,"(-34.90031389999999, -57.96687579999999)",22
Calle 47 (esq 117) 162 - La Plata - Buenos Aires ,Facultad de Arquitectura y Urbanismo,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,628,-34.905,-57.94267,Público,"(-34.905, -57.94266999999999)",23
7 y 60 - - La Plata - Buenos Aires ,Facultad de Bellas Artes,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,629,-34.9079173,-57.9275317,Público,"(-34.907917299999994, -57.9275317)",42
Paseo del Bosque s/n - La Plata - Buenos Aires ,Facultad de Ciencias Astronómicas y Geofísicas,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,1264,-34.91392,-57.94635,Público,"(-34.913920000000005, -57.94635)",43
115 y 47 - - La Plata - Buenos Aires ,Facultad de Ciencias Exactas,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,1354,-34.8478691,-58.0825936,Público,"(-34.8478691, -58.082593599999996)",44
60 y 122 - - La Plata - Buenos Aires ,Facultad de Ciencias Naturales y Museo,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,1355,-34.911932,-57.9316786,Público,"(-34.911932, -57.9316786)",12
60 y 118 - - La Plata - Buenos Aires ,Facultad de Ciencias Veterinarias,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,1359,-34.892548,-57.956792,Público,"(-34.892548, -57.95679200000001)",24
Calle 60 esq. 119 - - La Plata - Buenos Aires ,Facultad de Ciencias Agrarias y Forestales,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,1541,-34.9107029,-57.9311966,Público,"(-34.9107029, -57.9311966)",12
Edificio Bosque: Diagonal 113 y 63 291 - La Plata - Buenos Aires ,Facultad de Periodismo y Comunicación Social,La Plata,ARG,Buenos Aires,Universidad Nacional de La Plata,1817,-34.912875,-57.9269551,Público,"(-34.912875, -57.9269551)",45
