Comuna,1,2,3,4,5,6
1,2889,2383,2137,1909,1553,534
2,1459,1200,1098,1017,847,78
3,2633,1989,1735,1640,1304,297
4,3245,2463,2102,1472,1081,329
5,1499,1202,1067,850,666,132
6,2462,2010,1517,1195,984,177
7,1504,1210,1044,1039,850,282
8,1841,1440,1194,919,718,78
9,2237,1763,1510,1106,894,269
10,1659,1442,1277,1140,919,456
11,974,888,814,640,523,195
12,883,827,654,655,552,66
13,1716,1532,1319,1192,1006,339
14,1071,902,859,839,722,146
15,1449,1109,871,710,590,182
