zona_id,lat,lng
180,-33.0093096,-58.5098209
181,-31.8088,-59.94393
182,-31.98548,-58.96034
183,-31.9545033,-60.12484
184,-32.4845698,-58.2286501
185,-31.30833,-64.28034
186,-32.876335,-68.8350653
187,-34.95993,-57.81343
188,-34.5071798,-58.4769836
189,-31.2667752,-61.4949956
190,-34.59807,-58.48238
191,-34.62831,-58.4467
192,-32.8947875,-68.8415264
193,-34.4391635,-58.9258488
194,-31.33831,-64.21627
195,-31.40598,-64.20536
196,-33.06729,-68.46847
197,-25.13376,-58.2433
198,-46.44555,-67.5103199
199,-49.3139284,-67.7187486
200,-51.6221036,-69.2551571
201,-51.67383,-72.0982499
202,-43.2524,-65.3179
203,-42.7852951,-65.0061527
204,-35.0474,-58.13752
205,-29.41208,-66.82413
206,-40.1570655,-71.3595971
207,-34.5736024,-58.7456752
208,-38.5573808,-58.7388114
209,-27.40146,-55.9299
210,-41.13346,-71.35978
211,-32.33345,-65.02658
212,-36.60568,-61.75566
213,-34.6049368,-58.564289
214,-40.7950204,-62.9774721
215,-32.8972239,-68.853692
216,-26.83069,-65.2209
217,-34.55028,-58.50033
218,-34.9189219,-57.9541807
219,-32.943978,-60.6816
220,-34.50255,-58.48491
221,-34.4653777,-58.5171637
222,-31.6463729,-60.7084544
223,-33.13914,-64.35107
224,-34.60617,-68.32347
225,-34.59907,-58.40603
226,-31.94747,-65.18789
227,-34.9079173,-57.9275317
228,-27.48617,-55.1072
229,-34.65254,-58.7772034
230,-31.2533,-61.49084
231,-41.965399,-71.5358631
232,-26.8398746,-65.2099272
233,-36.7545624,-62.9644276
234,-34.1787535,-58.9618508
235,-31.24796,-61.46983
236,-26.82775,-65.21044
237,-34.58092,-58.42301
238,-33.005138,-58.5231421
239,-34.6727,-58.50476
240,-34.6293037,-58.3551303
241,-37.3278749,-59.1339978
242,-40.80428,-63.01009
243,-38.933237,-67.9943799
244,-32.9453593,-60.6407607
245,-34.6439,-58.37487
246,-53.7803126,-67.701438
247,-26.8157427,-65.2800513
248,-38.882246,-62.0728498
249,-37.9844303,-61.3571879
250,-34.91392,-57.94635
251,-32.0675287,-60.635168
252,-32.4791567,-58.2331712
253,-28.45209,-65.78607
254,-31.433768,-64.194134
255,-32.88418,-68.86657
256,-32.48091,-58.26133
257,-24.1876412,-65.2891476
258,-34.8478691,-58.0825936
259,-30.36845,-66.31295
260,-31.341184,-66.5866158
261,-41.14317,-71.31808
262,-27.4668,-58.8323003
263,-34.18053,-58.94717
264,-27.3646974,-55.8932968
265,-26.39786,-54.66608
266,-40.82209,-62.97714
267,-33.02285,-60.87928
268,-31.37591,-64.25406
269,-38.0494062,-57.5430918
270,-34.60728,-58.42681
271,-34.5962099,-58.4775
272,-33.01654,-58.4724769
273,-32.9058483,-60.8132872
274,-26.8365804,-65.2109167
275,-33.14674,-59.20819
276,-32.37757,-58.87626
277,-31.82209,-60.25399
278,-31.85794,-59.03687
279,-32.48654,-58.24762
280,-29.03448,-59.18336
281,-28.4605,-65.77861
282,-31.4292,-64.16082
283,-34.97384,-67.6865371
284,-36.62256,-64.27108
285,-31.21204,-66.3157
286,-38.8317399,-68.0579648
287,-35.7724925,-58.4863281
288,-23.13497,-64.31844
289,-25.50696,-64.9733
290,-31.54441,-68.21157
291,-31.3941316,-58.0121393
292,-29.1575918,-59.6501428
293,-27.4509625,-58.9793641
294,-33.333155,-60.206018
295,-35.9857112,-62.7270521
296,-32.4086,-63.2170053
297,-31.744414,-60.5236192
298,-29.1499337,-59.6406558
299,-27.45142,-58.98799
300,-31.24376,-61.4906347
301,-31.72321,-60.53317
302,-34.912875,-57.9269551
303,-31.6337549,-60.7048203
304,-34.61257,-58.41826
305,-22.5179348,-63.7974624
306,-37.6926355,-63.1671356
307,-34.5872699,-58.37168
308,-24.18189,-65.2976599
309,-30.9835,-64.11099
310,-34.5721833,-58.4338789
311,-31.7291557,-60.5303637
312,-34.9248227,-57.9516199
313,-34.5987162,-58.3744635
314,-31.7378394,-60.5163907
315,-34.6433899,-58.54076
316,-34.61951,-58.43642
317,-36.3168548,-57.6781287
318,-34.5828209,-58.394269
319,-54.7984288,-68.2798302
320,-31.86896,-59.0281817
321,-33.042087,-61.161689
322,-33.00623,-61.8212
323,-33.2325,-60.33522
324,-27.3455413,-65.5907023
325,-33.11766,-64.34753
326,-32.91937,-68.86652
327,-42.77077,-65.04941
328,-25.28878,-57.7256
329,-30.01729,-59.53086
330,-26.1891377,-58.1623871
331,-25.94893,-60.61882
332,-27.38967,-55.89688
333,-28.55372,-56.04175
