,Universidad,Facultad,Dirección,Nombre,Pais,Provincia,Municipio,lng,lat
32,Instituto Universitario Escuela de Medicina del Hospital Italiano,Instituto Universitario Escuela de Medicina del Hospital Italiano - UA,Potosi 4240 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Instituto Universitario Escuela de Medicina del Hospital Italiano, Instituto Universitario Escuela de Medicina del Hospital Italiano - UA",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.42681,-34.60728
33,Instituto Universitario Escuela Superior de Economía y Administración de Empresas,Sede Central,Uriarte 2472 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Instituto Universitario Escuela Superior de Economía y Administración de Empresas, Sede Central",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.42301,-34.58092
34,"Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""",Departamento de Humanidades,25 Mayo 544 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo"", Departamento de Humanidades",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.37122,-34.60147
35,"Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""",Departamento de Ciencias Sociales,25 Mayo 544 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo"", Departamento de Ciencias Sociales",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.37122,-34.60147
36,Instituto Universitario Nacional del Arte,Carreras de Formación Docente,Bolívar 1674 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Instituto Universitario Nacional del Arte, Carreras de Formación Docente",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.3724,-34.62788
37,Instituto Universitario Nacional del Arte,Departamento de Artes Musicales y Sonoras Carlos Lopez Buchardo,Avda Cordoba 2445 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Instituto Universitario Nacional del Arte, Departamento de Artes Musicales y Sonoras Carlos Lopez Buchardo",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.40186,-34.5994
38,Instituto Universitario Nacional del Arte,Area Transdepartamental de Crítica del Arte,Bartolomé Mitre 1869. C1039AAA. Ciudad Autónoma de Buenos Aires,"Instituto Universitario Nacional del Arte, Area Transdepartamental de Crítica del Arte",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.39301,-34.60806
39,Instituto Universitario Nacional del Arte,Carreras de Folklore,Sánchez de Loria 443. C1173ACI. Ciudad Autónoma de Buenos Aires,"Instituto Universitario Nacional del Arte, Carreras de Folklore",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.41285,-34.61474
40,Instituto Universitario Nacional del Arte,Departamento de Artes Audiovisuales,Rocamora 4141. C1184ABC Ciudad Autónoma de Buenos Aires,"Instituto Universitario Nacional del Arte, Departamento de Artes Audiovisuales",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.42267,-34.59927
41,Instituto Universitario Nacional del Arte,Departamento de Artes del Movimiento Maria Ruanova,Sánchez de Loria 443. C1173ACI. Ciudad Autónoma de Buenos Aires,"Instituto Universitario Nacional del Arte, Departamento de Artes del Movimiento Maria Ruanova",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.41285,-34.61474
42,Instituto Universitario Nacional del Arte,Departamento de Artes Dramáticas Antonio Cunill Cabanellas,French 3614 (C1425AXD) Ciudad Autónoma de Buenos Aires,"Instituto Universitario Nacional del Arte, Departamento de Artes Dramáticas Antonio Cunill Cabanellas",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.41166,-34.58308
43,Instituto Universitario Nacional del Arte,Departamento de Artes Visuales Prilidiano Pueyrredón,Av. General Las Heras 1749. C1018AAB. Ciudad Autónoma de Buenos Aires,"Instituto Universitario Nacional del Arte, Departamento de Artes Visuales Prilidiano Pueyrredón",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.39133,-34.5922399
44,Instituto Universitario Nacional del Arte,Rectorado,Azcuénaga 1129. Ciudad Autónoma de Buenos Aires,"Instituto Universitario Nacional del Arte, Rectorado",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.39979,-34.59483
45,Instituto Universitario Naval,Unidad Académica Escuela de Ciencias del Mar,Av. Antartida Argentina 1201 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Instituto Universitario Naval, Unidad Académica Escuela de Ciencias del Mar",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.37168,-34.5872699
46,Instituto Universitario Naval,Unidad Académica Escuela Nacional de Nautica,Antartida Argentina 1535 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Instituto Universitario Naval, Unidad Académica Escuela Nacional de Nautica",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.44631,-34.68477
48,Instituto Universitario River Plate,Departamento de Economia y Administracion del Deporte,Figueroa Alcorta 7597 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Instituto Universitario River Plate, Departamento de Economia y Administracion del Deporte",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.37344,-34.6085
49,Instituto Universitario River Plate,Departamento de Educacion y Deporte,Figueroa Alcorta 7597 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Instituto Universitario River Plate, Departamento de Educacion y Deporte",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.37344,-34.6085
50,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Teología,Concordia 4422 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Pontificia Universidad Católica Argentina Santa María de los Buenos Aires, Facultad de Teología",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.5083143,-34.5932297
51,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Pontificia Universidad Católica Argentina Santa María de los Buenos Aires, Facultad de Artes y Ciencias Musicales",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.36597,-34.61572
52,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Ciencias Médicas,Av. Alicia Moreau de Justo 1600 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Pontificia Universidad Católica Argentina Santa María de los Buenos Aires, Facultad de Ciencias Médicas",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.36585,-34.617
53,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Ciencias Sociales,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Pontificia Universidad Católica Argentina Santa María de los Buenos Aires, Facultad de Ciencias Sociales",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.36597,-34.61572
54,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Derecho,Av. Alicia Moreau de Justo 1400 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Pontificia Universidad Católica Argentina Santa María de los Buenos Aires, Facultad de Derecho",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.36613,-34.61446
55,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Psicología y Psicopedagogía,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires ,"Pontificia Universidad Católica Argentina Santa María de los Buenos Aires, Facultad de Psicología y Psicopedagogía",ARG,Ciudad Autónoma de Buenos Aires,Ciudad de Buenos Aires,-58.36597,-34.61572
