cue,anexo,nombre_estab,lat,lng,municipio,Provincia,nivel,sector de gestión,Matricula est 5to
608846,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº27 ""GRACIELA PERNAS MARTINO""",-34.912278,-57.975258,La Plata,Buenos Aires,Nivel Medio,Estatal,37.0
606261,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº28 ""DANTE L. SEGUNDO PEREIRA""",-34.853349,-58.074543,La Plata,Buenos Aires,Nivel Secundario,Estatal,33.0
606261,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº28 ""DANTE L. SEGUNDO PEREIRA""",-34.853349,-58.074543,La Plata,Buenos Aires,Nivel Medio,Estatal,16.0
608977,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº31 ""GRAL JOSE DE SAN MARTIN""",-34.908362,-57.948372,La Plata,Buenos Aires,Nivel Secundario,Estatal,121.0
608977,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº31 ""GRAL JOSE DE SAN MARTIN""",-34.908362,-57.948372,La Plata,Buenos Aires,Nivel Medio,Estatal,17.0
606231,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº32 ""MARY O GRAHAM""",-34.922297,-57.956903,La Plata,Buenos Aires,Nivel Secundario,Estatal,150.0
608543,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº33 ""DARDO ROCHA""",-34.916296,-57.941768,La Plata,Buenos Aires,Nivel Secundario,Estatal,120.0
608821,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº34 ""ALMAFUERTE""",-34.920291,-57.945108,La Plata,Buenos Aires,Nivel Secundario,Estatal,155.0
616180,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº37,-34.904933,-58.046284,La Plata,Buenos Aires,Nivel Secundario,Estatal,31.0
616180,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº37,-34.904933,-58.046284,La Plata,Buenos Aires,Nivel Medio,Estatal,9.0
