Domicilio,Facultad,Municipio,Provincia_y,Universidad,lat,lng
Calle 15 esquina 10 S/N - Gral. Pinedo - Chaco ,Facultad de Ciencias Agrarias - Extensión Áulica Gral. Pinedo,,Chaco,Universidad Nacional del Nordeste,-27.3249579,-61.2838572
Calle 5 esq.116 00 - Gral. Pico - La Pampa ,Facultad de Ciencias Veterinarias,,La Pampa,Universidad Nacional de La Pampa,-35.6693585,-63.7775038
Calle S. Farache(13) S/N - Gral. Pinedo - Chaco ,Facultad de Derecho y Ciencias Sociales y Políticas - Extensión Áulica Gral. Pinedo,,Chaco,Universidad Nacional del Nordeste,-27.3249579,-61.2838572
Campo Educ Munic Sin nro. - Malargue - Mendoza ,Facultad de Ciencias Médicas - Delegación Malargue,,Mendoza,Universidad Nacional de Cuyo,-35.4741362,-69.5914079
Campus Educativo Municipal II Sin nro. - Malargue - Mendoza ,Facultad de Ciencias Exactas y Naturales - Delegación Malargüe,,Mendoza,Universidad Nacional de Cuyo,-35.4741362,-69.5914079
Centro Atómico Constituyentes - Av. Gral 1499 - Barrio Gral. San Martin - Buenos Aires ,Instituto de Tecnología Nuclear Dan Beninson,San Martín,Buenos Aires,Universidad Nacional de San Martín,-34.5729631,-58.5140043
Ciudad Universitaria s/n - Santa Fe - Santa Fé ,Facultad de Bioquímica y Ciencias Biológicas,,Santa Fe,Universidad Nacional del Litoral,-31.6398704,-60.67532
Ciudad Universitaria s/n - Santa Fe - Santa Fé ,Facultad de Ciencias Médicas,,Santa Fe,Universidad Nacional del Litoral,-31.6398704,-60.67532
Ciudad Universitaria s/n - Santa Fe - Santa Fé ,Facultad de Humanidades y Ciencias,,Santa Fe,Universidad Nacional del Litoral,-31.6398704,-60.67532
Ciudad Universitaria s/n - Santa Fe - Santa Fé ,Facultad de Arquitectura Diseño y Urbanismo,,Santa Fe,Universidad Nacional del Litoral,-31.6398704,-60.67532
Ciudad Universitaria s/n - Santa Fe - Santa Fé ,Facultad de Ingeniería y Ciencias Hídricas,,Santa Fe,Universidad Nacional del Litoral,-31.6398704,-60.67532
Eva Perón 1567 - Monte Caseros - Corrientes ,Facultad de Derecho y Ciencias Sociales y Políticas - Extensión Áulica Monte Caseros,,Corriente,Universidad Nacional del Nordeste,-30.2527201,-57.6435641
Extensión Universit. Ruta 89 - Charata - Chaco ,Facultad de Derecho y Ciencias Sociales y Políticas - Extensión Áulica Charata,,Chaco,Universidad Nacional del Nordeste,-27.2256465,-61.1789482
F.Varela 1903 - Villa Luzuriaga - Buenos Aires ,Departamento de Ciencias Económicas,La Matanza,Buenos Aires,Universidad Nacional de La Matanza,-34.6705129,-58.5650592
F.Varela 1903 - Villa Luzuriaga - Buenos Aires ,Departamento de Humanidades y Ciencias Sociales,La Matanza,Buenos Aires,Universidad Nacional de La Matanza,-34.6705129,-58.5650592
F.Varela 1903 - Villa Luzuriaga - Buenos Aires ,Departamento de Ingeniería e Investigaciones Tecnológicas,La Matanza,Buenos Aires,Universidad Nacional de La Matanza,-34.6705129,-58.5650592
Gral. Justo Jose de Urquiza e Italia -- - Crespo - Entre Ríos ,Facultad de Ciencias de la Gestión. Sede Crespo,,Entre Ríos,Universidad Autónoma de Entre Ríos,-32.0347681,-60.3074083
H. Yrigoyen 827 - Cnel. Dorrego - Buenos Aires ,Sede Académica Coronel Dorrego,Cnel. Dorrego,Buenos Aires,Universidad Provincial del Sudoeste,-38.7188944,-61.2939116
Hipólito Yrigoyen 288 - Gral. Pacheco - Buenos Aires ,Facultad Regional General Pacheco,Tigre,Buenos Aires,Universidad Tecnológica Nacional,-34.4564099,-58.6260793
Hipólito Yrigoyen 405 - La Noria - Buenos Aires ,Sede Cañuelas,Cañuelas,Buenos Aires,Universidad de Ciencias Empresariales y Sociales,-35.0512681,-58.7696161
Isidro Lobo 516 - Gral. Roca - Río Negro ,Académica Sede Alto Valle - Valle Medio,,Río Negro,Universidad Nacional de Río Negro,-39.0319097,-67.5748177
Juan B. Alberdi 333 - Jose Maria Blanco - Buenos Aires ,Facultad de Ingeniería - sede Tres Lomas,Lomas de Zamora,Buenos Aires,Universidad Nacional de Lomas de Zamora,-34.7754573,-58.4581925
Juan B. Justo 354 - Corrientes - Corrientes ,"Facultad de Artes, Diseño y Ciencias de la Cultura",,Corrientes,Universidad Nacional del Nordeste,-27.4546128,-58.9865668
Las Violetas 853 - Colonia La Argentina - Entre Ríos ,Facultad de Ciencias de la Gestión. Sede Federación,,Entre Ríos,Universidad Autónoma de Entre Ríos,-31.7311354,-60.5352937
Las Violetas 853 - Colonia La Argentina - Entre Ríos ,"Facultad de Humanidades, Artes y Ciencias Sociales. Sede Federación",,Entre Ríos,Universidad Autónoma de Entre Ríos,-31.7311354,-60.5352937
Maipú 1552 - Laurencena - Entre Ríos ,Facultad de Ciencia y Tecnología. Sede Nogoyá,,Entre Ríos,Universidad Autónoma de Entre Ríos,-32.3933077,-59.795789
Maipú 270 - Tres Arroyos - Buenos Aires ,Sede Académica Tres Arroyos,Tres Arroyos,Buenos Aires,Universidad Provincial del Sudoeste,-38.3819111,-60.2765575
Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires ,Escuela de Ciencia y Tecnología,San Martín,Buenos Aires,Universidad Nacional de San Martín,-34.5780622,-58.5295693
Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires ,Escuela de Política y Gobierno,San Martín,Buenos Aires,Universidad Nacional de San Martín,-34.5780622,-58.5295693
Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires ,Escuela de Humanidades - Migueletes,San Martín,Buenos Aires,Universidad Nacional de San Martín,-34.5780622,-58.5295693
Martín de Irigoyen 3100 - Barrio Gral. San Martin - Buenos Aires ,Instituto de Altos Estudios Sociales,San Martín,Buenos Aires,Universidad Nacional de San Martín,-34.5780622,-58.5295693
Rio Santiago - Base Naval De Rio Santiago - Buenos Aires ,Unidad Académica Escuela Naval Militar,Ensenada,Buenos Aires,Instituto Universitario Naval,-34.8449602,-57.8981484
Rivadavia 220 - Enrique Fynn - Buenos Aires ,Facultad de Ingeniería. - sede General Las Heras,Lomas de Zamora,Buenos Aires,Universidad Nacional de Lomas de Zamora,-34.931087,-58.9462135
Ruta Nac. 5 y Constitución S/N - Lujan - Buenos Aires ,Rectorado Sede Central,Luján,Buenos Aires,Universidad Nacional de Luján,-34.5774135,-59.090961
Ruta Nacional 259 - km 4 sn - Esquel - Chubut ,Facultad de Ciencias Económicas - Sede Esquel,,Chubut,Universidad Nacional de la Patagonia San Juan Bosco,-42.9314567,-71.3663874
Ruta Nacional Nº 259 - Km4 SN - Esquel - Chubut ,Facultad de Ingeniería - Sede Esquel,,Chubut,Universidad Nacional de la Patagonia San Juan Bosco,-42.9314567,-71.3663874
"Ruta Pcial.11, Km. 10.cc 24. Suc. 3 S/N - Oro Verde - Entre Ríos ",Facultad de Ciencias Agropecuarias,,Entre Ríos,Universidad Nacional de Entre Ríos,-31.8304595,-60.5210023
Ruta Pcial.11Km.10 S/N - Oro Verde - Entre Ríos ,Facultad de Ingeniería,,Entre Ríos,Universidad Nacional de Entre Ríos,-31.8328766,-60.5226479
Ruta Prov Nº 55 (ex 148) Extremo Norte 55 - Villa Mercedes - San Luis ,"Facultad de Ciencias Económicas, Jurídicas y Sociales",,San Luis,Universidad Nacional de San Luis,-33.6441096,-65.4498082
Ruta Prov Nº 55 (ex 148) Extremo Norte 55 - Villa Mercedes - San Luis ,Facultad de Ingeniería y Ciencias Agropecuarias,,San Luis,Universidad Nacional de San Luis,-33.6441096,-65.4498082
"Ruta Provincial Nº 11. Km 10,5 -- - Oro Verde - Entre Ríos ",Facultad de Ciencia y Tecnología. Sede Oro Verde,,Entre Ríos,Universidad Autónoma de Entre Ríos,-31.8340391,-60.5226753
Saavedra 443 - Chas - Buenos Aires ,Facultad de Ingeniería - sede General Belgrano,Lomas de Zamora,Buenos Aires,Universidad Nacional de Lomas de Zamora,-35.7697566,-58.4930253
San Martin 415 - Pigue - Buenos Aires ,"Facultad de la Micro, Pequeña y Mediana Empresa",Pigue,Buenos Aires,Universidad Provincial del Sudoeste,-37.6066502,-62.4114608
San Martin 415 - Pigue - Buenos Aires ,Facultad de Desarrollo Local y Regional,Pigue,Buenos Aires,Universidad Provincial del Sudoeste,-37.6066502,-62.4114608
San Martín 415 - Pigue - Buenos Aires ,Sede Académica Pigüé,Pigue,Buenos Aires,Universidad Provincial del Sudoeste,-37.6066502,-62.4114608
Varela 1903 - Villa Luzuriaga - Buenos Aires ,Escuela de Formación Continua,La Matanza,Buenos Aires,Universidad Nacional de La Matanza,-34.6705129,-58.5650592
calle 110 390 - Gral. Pico - La Pampa ,Facultad de Ingeniería,,La Pampa,Universidad Nacional de La Pampa,-35.6687009,-63.7726963
calle principal sn - Vinchina - La Rioja ,Delegación Académica Vinchina,,La Rioja,Universidad Nacional de La Rioja,-28.7720339,-68.2105245
