,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes,Estudiantes
Institución,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Total de las Instituciones,215411,237089,257711,279972,298770,317040,337601,352501,366570,382618,393132
Total Universidades Privadas,210257,230549,249598,275517,293043,308858,328645,343177,356372,371653,380615
Abierta Interamericana,15330,16128,16418,16696,17322,18822,18961,19523,19268,19951,20464
Aconcagua (1),3728,4726,5513,6271,6854,6896,7868,7820,7510,7207,7053
Adventista del Plata,1789,2238,2667,2854,3051,3115,3026,3871,3689,3562,3354
Argentina de la Empresa (2),12357,15581,17395,19254,19254,21681,24113,24115,24954,25824,26767
Argentina John F. Kennedy,17833,17417,16940,16678,15992,15359,14347,12102,10708,9497,8737
Atlántida Argentina,981,936,1300,1385,1407,1558,1508,1436,1304,1146,1228
Austral,2164,2176,2253,2367,2591,2763,2833,2889,2849,3020,3278
Belgrano,10400,10944,11015,11316,11660,12176,12503,13384,12538,12843,12972
Blas Pascal,4803,5517,6279,7188,8314,9459,10293,10043,9945,9609,9189
CAECE,2333,2522,2705,2831,2831,3459,4380,5171,5010,5439,4795
Católica Argentina,15065,16800,16901,19159,18593,19068,17772,17404,16543,15932,15429
Católica de Córdoba,6208,6591,6773,7636,7987,8318,8394,8469,8417,8348,8194
Católica de Cuyo,3239,3710,5359,6219,4902,6564,7788,7161,7663,8468,7482
Católica de La Plata,3837,3741,4321,5362,5891,6313,6469,6786,8772,8513,8643
Católica de Salta,16028,19563,19466,22928,24912,26069,26050,26324,26727,25599,25650
Católica de Santa Fe,5104,5680,6324,6443,6619,6675,6529,6537,6496,6195,5936
Católica de Santiago del Estero,5855,6528,6687,6569,7180,7165,7483,7484,7222,7067,7156
CEMA,198,230,221,187,378,423,449,583,450,548,749
Centro Educativo Latinoamericano,1873,2053,2279,2401,2788,2789,2864,3006,3221,3782,3976
Champagnat,2666,2999,2948,3610,2783,1862,3307,3240,3111,2932,2846
Ciencias Empresariales y Sociales,5876,6014,7004,8267,11100,11005,13612,17370,14499,14326,14551
Cine,586,829,1021,1319,1394,1383,1417,1397,1423,1391,1312
Concepción del Uruguay,2079,2580,2794,2587,2765,3117,3037,3025,3370,3570,3354
Congreso,1632,2209,2208,2030,2374,2323,2168,2020,2310,2141,2423
Cuenca del Plata,1503,1629,2021,2168,2600,3415,4035,5332,6052,6947,6871
Empresarial Siglo 21,,,3879,5457,6707,10710,18589,24951,34221,44052,49949
Este,,,,,,,,231,482,540,635
FASTA,2968,3196,3447,3523,3710,4039,4169,5288,6558,7594,8141
Favaloro,400,453,478,771,952,1143,1192,1312,1440,1496,1502
Flores,2521,2947,3259,3329,3404,3556,3589,3502,3548,4139,4369
Gastón Dachary,702,991,934,1174,1038,1068,978,1091,1436,1523,2413
ISALUD,216,422,434,733,871,1031,1869,2817,3416,3696,3817
Juan Agustín Maza,2440,2451,2491,3226,3634,3143,3646,3518,3148,2973,3274
Madres de Plaza de Mayo,,,,,,,,,,208,327
Maimónides,3824,2828,3505,9008,10468,8836,7659,8083,9252,10616,12644
Marina Mercante,1793,2164,2124,2775,3438,3812,4076,4261,4402,4296,4207
Mendoza,6028,6249,8088,8408,8843,8814,9704,9772,9175,8664,8736
Metropolitana,,,,,,,,,,,399
Morón,14325,15118,15530,15715,16828,17260,17473,17727,17318,17003,16572
Museo Social Argentino,3167,3591,3858,3765,3839,3705,3527,3290,3254,2976,3050
Norte Santo Tomás de Aquino,5844,6282,6893,7279,7469,7986,7773,7419,7249,6981,6490
Palermo,6880,7807,9318,10007,11650,11999,12714,13317,14227,13799,13182
Salvador,13843,14847,14694,14694,16961,18166,18658,18156,21131,24529,25443
San Andrés,678,707,673,732,823,821,895,953,1051,1058,1014
San Isidro,,,,,,,,,,,114
San Pablo  T,,,,,,,,,,606,755
Torcuato Di Tella,1161,1155,1181,1196,866,992,928,997,1013,1047,1173
Total Institutos Universitarios,5154,6540,8113,4455,5727,8182,8956,9324,10198,10965,12517
CEMIC,134,175,199,180,219,231,258,279,331,412,451
Cs de la Salud de la Fundación Barceló,3471,4349,5585,1922,3064,3116,3028,3181,3421,3705,4825
Escuela Argentina de Negocios (3),,,60,60,60,1908,2410,1993,1601,1485,1247
Escuela de Medicina del Hospital Italiano,166,287,319,274,331,350,373,170,386,407,397
Escuela Universitaria de Teología,,78,137,97,88,74,111,107,112,87,87
ESEADE,,,,,,55,77,92,92,116,116
Gran Rosario,,,,,,389,492,1126,1699,2184,2752
ISEDET,41,73,123,149,93,72,72,64,69,75,56
Italiano de Rosario,,184,208,232,282,329,366,503,592,657,659
ITBA,1342,1394,1482,1541,1590,1658,1769,1809,1895,1837,1851
River Plate,,,,,,,,,,,76
