,Rama,Rama,Rama,Rama,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina
,Total Ciencias Aplicadas,Total Ciencias Aplicadas,Total Ciencias Aplicadas,Total Ciencias Aplicadas,Arquitectura y Diseño,Arquitectura y Diseño,Arquitectura y Diseño,Arquitectura y Diseño,Astronomía,Astronomía,Astronomía,Astronomía,Bioquímica y Farmacia,Bioquímica y Farmacia,Bioquímica y Farmacia,Bioquímica y Farmacia,Ciencias Agropecuarias,Ciencias Agropecuarias,Ciencias Agropecuarias,Ciencias Agropecuarias,Ciencias del Suelo,Ciencias del Suelo,Ciencias del Suelo,Ciencias del Suelo,Estadística,Estadística,Estadística,Estadística,Industrias,Industrias,Industrias,Industrias,Informática,Informática,Informática,Informática,Ingeniería,Ingeniería,Ingeniería,Ingeniería,Meteorología,Meteorología,Meteorología,Meteorología,Otras Ciencias Aplicadas,Otras Ciencias Aplicadas,Otras Ciencias Aplicadas,Otras Ciencias Aplicadas
Institución,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
Favaloro,233,38,195,18,,,,,,,,,,,,,,,,,6,0,6,0,227,38,189,18,,,,,,,,,,,,,,,,,,,,
Flores,947,208,739,131,705,172,533,37,,,,,,,,,242,36,206,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastón Dachary,486,92,394,2,,,,,,,,,13,0,13,0,114,26,88,0,359,66,293,2,,,,,,,,,,,,,,,,,,,,,,,,
ISALUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Agustín Maza,838,131,707,27,,,,,471,66,405,3,,,,,180,40,140,24,10,0,10,0,177,25,152,0,,,,,,,,,,,,,,,,,,,,
Madres de Plaza de Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maimónides,327,45,282,15,,,,,294,38,256,15,,,,,,,,,33,7,26,0,,,,,,,,,,,,,,,,,,,,,,,,
Marina Mercante,916,206,710,27,,,,,,,,,,,,,208,59,149,8,156,37,119,4,248,46,202,5,304,64,240,10,,,,,,,,,,,,,,,,
Mendoza,2930,517,2413,255,2058,365,1693,205,,,,,,,,,329,64,265,6,340,62,278,27,203,26,177,17,,,,,,,,,,,,,,,,,,,,
Metropolitana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morón,5372,1280,4092,416,2227,490,1737,98,933,200,733,55,138,23,115,8,1191,414,777,208,345,47,298,25,509,95,414,18,29,11,18,4,,,,,,,,,,,,,,,,
Museo Social Argentino,1,0,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norte Santo Tomás de Aquino,786,177,609,146,180,42,138,30,,,,,13,0,13,9,509,113,396,102,84,22,62,5,,,,,,,,,,,,,,,,,,,,,,,,
Palermo,6320,1933,4387,621,5122,1523,3599,546,,,,,,,,,181,52,129,7,890,254,636,68,127,104,23,0,,,,,,,,,,,,,,,,,,,,
Salvador,1597,380,1217,85,374,121,253,16,,,,,431,72,359,23,260,54,206,18,532,133,399,28,,,,,,,,,,,,,,,,,,,,,,,,
San Andrés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Isidro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Pablo T,178,41,137,14,143,33,110,13,,,,,,,,,35,8,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torcuato Di Tella,174,44,130,17,174,44,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Institutos Universitarios,1785,328,1457,233,,,,,35,19,16,0,,,,,,,,,53,0,53,10,,,,,771,150,621,138,,,,,,,,,,,,,,,,
CEMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cs. De la Salud de laFundación Barceló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escuela Argentina de Negocios,53,0,53,10,,,,,,,,,,,,,,,,,53,0,53,10,,,,,,,,,,,,,,,,,,,,,,,,
Escuela de Medicina del Hospital Italiano,35,19,16,0,,,,,35,19,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escuela Universitaria de Teología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESEADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gran Rosario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISEDET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italiano de Rosario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITBA,1697,309,1388,223,,,,,,,,,,,,,,,,,,,,,,,,,771,150,621,138,206,41,165,26,720,118,602,59,,,,,,,,
River Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
