,Total,Total,Total,Total,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Aplicadas,Ciencias Básicas,Ciencias Básicas,Ciencias Básicas,Ciencias Básicas,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias Humanas,Ciencias Humanas,Ciencias Humanas,Ciencias Humanas,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Sin Rama (2),Sin Rama (2),Sin Rama (2),Sin Rama (2),
Institución,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,
La Plata,109803,21374,88429,6094,29541,5019,24522,1300,4357,1101,3256,295,15804,2715,13089,1504,26141,5820,20321,858,33653,6657,26996,2135,307,62,245,2,
La Rioja,18589,4878,13711,633,3716,1019,2697,109,242,63,179,24,4618,1003,3615,154,4115,1560,2555,97,5898,1233,4665,249,,,,,
Lanús,12825,3262,9563,491,3372,911,2461,69,333,63,270,20,2290,804,1486,160,2142,466,1676,69,4688,1018,3670,173,,,,,
Litoral,44268,9937,34331,2155,13929,2850,11079,596,1516,328,1188,71,9422,2270,7152,748,4068,1081,2987,85,15333,3408,11925,655,,,,,
Lomas de Zamora,34434,7512,26922,2515,4002,1392,2610,387,25,22,3,3,2,0,2,2,3694,738,2956,230,26711,5360,21351,1893,,,,,
Luján,18339,5519,12820,888,2317,544,1773,91,676,163,513,29,,,,,3101,818,2283,58,12245,3994,8251,710,,,,,
Mar del Plata,23184,4932,18252,1158,6085,1130,4955,369,1120,300,820,47,1474,265,1209,37,5214,1072,4142,180,9291,2165,7126,525,,,,,
Misiones,20955,5866,15089,820,4792,939,3853,254,1397,280,1117,57,1631,512,1119,69,3334,1161,2173,132,9801,2974,6827,308,,,,,
Moreno,3668,1474,2194,5,461,156,305,0,72,72,0,0,,,,,356,109,247,5,2779,1137,1642,0,,,,,
Nordeste,50403,11540,38863,3087,10833,2119,8714,614,2903,555,2348,66,8485,2077,6408,676,4711,1244,3467,203,23471,5545,17926,1528,,,,,
Noroeste de la PBA,6225,1298,4927,179,2556,445,2111,49,235,45,190,6,219,56,163,0,,,,,3215,752,2463,124,,,,,
Oeste,1657,738,919,21,396,192,204,0,,,,,291,129,162,0,436,132,304,21,534,285,249,0,,,,,
Patagonia Austral,7289,3076,4213,161,1676,947,729,16,279,79,200,5,796,342,454,29,2046,752,1294,85,2492,956,1536,26,,,,,
Patagonia S. J. Bosco,13292,3331,9961,394,2657,601,2056,85,1474,372,1102,54,394,156,238,32,1108,372,736,34,7659,1830,5829,189,,,,,
Quilmes,22451,5654,16797,839,2844,729,2115,57,,,,,2249,671,1578,167,3729,1224,2505,214,13629,3030,10599,401,,,,,
Río Cuarto,15290,3101,12189,909,3234,578,2656,187,890,186,704,74,2826,509,2317,225,3294,677,2617,213,5046,1151,3895,210,,,,,
Río Negro,6988,3343,3645,132,1993,1030,963,28,476,243,233,7,490,196,294,0,1349,685,664,38,2680,1189,1491,59,,,,,
Rosario,74234,15143,59091,10016,16515,2775,13740,1331,1030,297,733,251,16608,3290,13318,1728,13607,3599,10008,497,23303,3147,20156,6209,3171,2035,1136,0,
Salta,28015,5956,22059,509,7936,1838,6098,140,2972,653,2319,81,4897,1175,3722,160,3060,464,2596,52,9150,1826,7324,76,,,,,
San Juan,20533,3904,16629,777,7186,1367,5819,311,1173,264,909,48,424,143,281,70,3261,662,2599,80,8489,1468,7021,268,,,,,
San Luis,13554,3508,10046,583,4636,1160,3476,165,983,219,764,65,1521,606,915,26,3820,892,2928,239,2594,631,1963,88,,,,,
San Martín,12971,3803,9168,1137,1922,534,1388,56,294,95,199,3,1608,360,1248,231,2483,881,1602,233,6664,1933,4731,614,,,,,
Santiago del Estero,16160,3776,12384,1310,2861,667,2194,63,565,172,393,20,1823,251,1572,167,7017,1929,5088,899,3894,757,3137,161,,,,,
Sur,18279,3513,14766,1101,7083,1210,5873,472,1451,457,994,54,857,177,680,100,2029,473,1556,100,6859,1196,5663,375,,,,,
Tecnológica Nacional,80052,16616,63436,4757,74503,15059,59444,3625,974,73,901,545,,,,,1047,316,731,72,3528,1168,2360,515,,,,,
Tierra del Fuego,571,571,,,133,133,0,0,66,66,,,,,,,,,,,372,372,,,,,,,
Tres de Febrero,12451,5703,6748,490,1759,842,917,57,258,94,164,5,346,174,172,33,4752,2012,2740,156,5093,2358,2735,239,243,223,20,0,
Tucumán,63524,11399,52125,2452,14126,2092,12034,493,2040,585,1455,55,9671,990,8681,556,15482,3839,11643,283,22205,3893,18312,1065,,,,,
Villa María,5798,2327,3471,240,1466,487,979,72,157,98,59,2,805,401,404,4,1016,517,499,38,2354,824,1530,124,,,,,
Villa Mercedes,879,879,,,228,228,,,37,37,,,528,528,,,35,35,,,51,51,,,,,,,
Total Institutos Universitarios,28967,7955,21012,2619,3622,771,2851,739,,,,,556,171,385,131,14829,3946,10883,188,9654,2761,6893,1561,306,306,0,0,
Aeronáutico,5616,889,4727,977,1767,313,1454,244,,,,,,,,,,,,,3849,576,3273,733,,,,,
Instituto Univ. del Ejército,1876,985,891,281,275,66,209,44,,,,,119,28,91,22,17,17,0,12,1465,874,591,203,,,,,
Gendarmería,1302,451,851,199,,,,,,,,,,,,,48,30,18,12,1254,421,833,187,,,,,
IUNA,14725,3865,10860,156,64,21,43,0,,,,,,,,,14661,3844,10817,156,,,,,,,,,
Naval,804,259,545,117,377,80,297,55,,,,,,,,,,,,,427,179,248,62,,,,,
Policía Federal Argentina,3293,837,2456,364,293,0,293,53,,,,,405,135,270,77,,,,,2595,702,1893,234,,,,,
Seguridad Marítima,1351,669,682,525,846,291,555,343,,,,,32,8,24,32,103,55,48,8,64,9,55,142,306,306,0,0,
Total Universidad Provincial,20057,5797,14260,801,1743,564,1179,109,1138,350,788,42,1401,461,940,159,10364,2964,7400,257,5411,1458,3953,234,,,,,
Autónoma de Entre Ríos,20057,5797,14260,801,1743,564,1179,109,1138,350,788,42,1401,461,940,159,10364,2964,7400,257,5411,1458,3953,234,,,,,
