,Total,Grupos de edad,Grupos de edad,Grupos de edad,Grupos de edad,Grupos de edad %,Grupos de edad %,Grupos de edad %,Grupos de edad %
Institución,Total,<19,20-24,25-29,>30,<19,20-24,25-29,>30
Total Instituciones Privadas,110057,28217,34926,17890,27989,25.6,31.7,16.3,25.4
Total Universidades,106208,27122,33539,17135,27377,25.5,31.6,16.1,25.8
Abierta Interamericana,5766,1457,1706,1109,1494,25.3,29.6,19.2,25.9
Aconcagua,1642,528,546,252,316,32.2,33.3,15.3,19.2
Adventista del Plata,536,238,193,54,51,44.4,36,10.1,9.5
Argentina de la Empresa,6768,3661,1944,718,445,54.1,28.7,10.6,6.6
Argentina John F. Kennedy,1318,135,416,315,452,10.2,31.6,23.9,34.3
Atlántida Argentina,336,40,154,45,97,11.9,45.8,13.4,28.9
Austral,1014,554,114,56,290,54.6,11.2,5.5,28.6
Belgrano,2884,1441,886,215,342,50,30.7,7.5,11.9
Blas Pascal,3470,384,810,767,1509,11.1,23.3,22.1,43.5
CAECE,842,81,325,180,256,9.6,38.6,21.4,30.4
Católica Argentina,3859,842,2129,405,483,22,55,10,13
Católica de Córdoba,1774,837,428,193,316,47.2,24.1,10.9,17.8
Católica de Cuyo,1589,768,588,134,99,48.3,37,8.4,6.2
Católica de La Plata,1791,509,588,305,389,28.4,32.8,17,21.7
Católica de Salta,6058,2114,1745,928,1271,34.9,28.8,15.3,21
Católica de Santa Fe,914,461,247,97,109,50.4,27,10.6,11.9
Católica de Santiago del Estero,1678,893,471,148,166,53.2,28.1,8.8,9.9
CEMA,151,77,59,7,8,51,39.1,4.6,5.3
Centro Educativo Latinoamericano,811,219,233,180,179,27,28.7,22.2,22.1
Champagnat,328,,,,,,,,
Ciencias Empresariales y Sociales,4396,1284,1840,779,493,29.2,41.9,17.7,11.2
Cine,416,131,215,51,19,31.5,51.7,12.3,4.6
Concepción del Uruguay,707,,,,,,,,
Congreso,682,41,272,195,174,6,39.9,28.6,25.5
Cuenca del Plata,1610,830,472,149,159,51.6,29.3,9.3,9.9
Empresarial Siglo 21,21791,2049,5251,5172,9319,9.4,24.1,23.7,42.8
Este,241,62,64,49,66,25.7,26.6,20.3,27.4
FASTA,2584,311,551,574,1148,12,21.3,22.2,44.4
Favaloro,465,146,142,75,102,31.4,30.5,16.1,21.9
Flores,1172,286,337,202,347,24.4,28.8,17.2,29.6
Gastón Dachary,805,104,329,142,230,12.9,40.9,17.6,28.6
ISALUD,1469,50,160,237,1022,3.4,10.9,16.1,69.6
Juan Agustín Maza,750,366,293,55,36,48.8,39.1,7.3,4.8
Madres de Plaza de Mayo,124,3,20,31,70,2.4,16.1,25,56.5
Maimónides,4429,137,479,646,3167,3.1,10.8,14.6,71.5
Marina Mercante,1106,74,323,325,384,7,29,29,35
Mendoza,1550,856,531,87,76,55.2,34.3,5.6,4.9
Metropolitana,399,79,172,52,96,19.8,43.1,13,24.1
Morón,4675,1212,1358,846,1259,25.9,29,18.1,26.9
Museo Social Argentino,823,143,312,172,196,17.4,37.9,20.9,23.8
Norte Santo Tomás de Aquino,1382,605,504,141,132,43.8,36.5,10.2,9.6
Palermo,4185,1603,1518,575,489,38,36,14,12
Salvador,5987,965,4569,421,32,16.1,76.3,7,1
San Andrés,248,191,57,0,0,77,23,0,0
San Isidro,114,8,41,21,44,7,36,18.4,39
San Pablo -T,210,57,87,22,44,27.1,41.4,10.5,21
Torcuato Di Tella,359,290,60,8,1,80.8,16.7,2.2,0.3
Total Institutos Universitarios,3849,1095,1387,755,612,28.4,36,19.6,15.9
CEMIC,133,36,43,20,34,27,32.3,15,25.6
Cs de la Salud de la Fundación Barceló,1580,129,658,422,371,8.2,41.6,26.7,23.5
Escuela Argentina de Negocios,456,19,309,113,15,4.2,67.8,24.8,3.3
Escuela de Medicina del Hospital Italiano,93,31,36,13,13,33.3,38.7,14,14
Escuela Universitaria de Teología,25,0,2,4,19,0,8,16,76
ESEADE,52,5,12,12,23,10,23.1,23.1,44.2
Gran Rosario,943,486,244,140,73,51.5,25.9,14.8,7.7
ISEDET,6,0,3,1,2,0,50,17,33
Italiano de Rosario,150,46,61,11,32,30.7,40.7,7.3,21.3
ITBA,335,335,0,0,0,100,0,0,0
River Plate,76,8,19,19,30,10.5,25,25,39.5
