,Egresados,Egresados,Egresados,Egresados,Egresados,Egresados,Egresados,Egresados,Egresados,Egresados,Egresados
Institución,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Total de las Instituciones,18671,20391,22664,22149,24140,29328,28677,28574,35918,36877,37376
Total Universidades Privadas,18208,19797,22185,21719,23706,28440,27720,27874,35091,35950,36329
Abierta Interamericana,1172,1166,1920,2102,2273,2290,1815,2445,2700,2710,2790
Aconcagua (1),286,153,227,311,318,316,484,506,637,655,673
Adventista del Plata,189,223,201,243,272,277,298,288,319,393,383
Argentina de la Empresa (2),1317,1589,1463,1487,1487,,1540,1342,2666,2991,3092
Argentina John F. Kennedy,776,806,713,493,650,605,682,667,483,751,707
Atlántida Argentina,96,73,114,125,93,139,89,112,112,129,140
Austral,223,278,297,308,280,353,332,295,281,209,366
Belgrano,1002,921,921,693,716,727,752,734,757,754,611
Blas Pascal,735,845,906,805,874,940,980,1081,1192,1310,1221
CAECE,294,211,515,377,551,528,520,514,594,642,525
Católica Argentina,1750,1891,2055,2041,1864,4306,2146,1879,2238,2338,2287
Católica de Córdoba,720,895,995,924,932,960,885,1030,1040,1003,1167
Católica de Cuyo,317,294,372,459,402,515,466,520,671,812,914
Católica de La Plata,324,334,311,341,516,893,775,769,546,563,533
Católica de Salta,580,808,818,1053,792,879,1168,1268,1453,1357,1542
Católica de Santa Fe,345,343,375,314,360,355,453,468,503,535,442
Católica de Santiago del Estero,253,241,336,348,285,293,408,420,444,396,373
CEMA,39,74,200,44,165,178,72,93,134,136,114
Centro Educativo Latinoamericano,104,179,172,256,302,212,424,776,410,411,373
Champagnat,228,283,304,277,305,259,195,212,343,223,267
Ciencias Empresariales y Sociales,297,311,736,359,661,637,2205,1608,1431,1785,1076
Cine,34,38,36,41,40,73,75,72,95,92,100
Concepción del Uruguay,265,182,111,261,200,180,237,214,222,264,247
Congreso,106,118,146,108,135,118,126,177,137,142,179
Cuenca del Plata,164,203,188,166,199,176,244,267,367,474,504
Empresarial Siglo 21,...,183,263,243,340,329,455,642,1197,2002,2720
Este,,,,,,,,,,11,80
FASTA,137,155,173,177,252,395,267,263,540,408,482
Favaloro,50,48,53,49,138,187,203,214,289,271,263
Flores,239,274,274,260,271,295,285,261,281,326,401
Gastón Dachary,32,53,23,22,22,39,66,45,62,77,94
ISALUD,42,53,48,39,38,30,58,137,544,577,417
Juan Agustín Maza,293,319,211,245,267,279,224,212,277,274,310
Madres de Plaza de Mayo,,,,,,,,,,,
Maimónides,172,149,322,379,329,3573,972,1058,4682,3208,3026
Marina Mercante,332,341,300,402,326,118,162,228,281,246,241
Mendoza,349,486,487,520,512,361,519,613,605,532,560
Metropolitana,,,,,,,,,,,
Morón,1161,1081,1252,1143,1573,1769,1932,2028,2117,1916,1619
Museo Social Argentino,516,628,624,583,612,709,584,488,484,375,447
Norte Santo Tomás de Aquino,625,528,636,639,540,600,551,533,546,587,571
Palermo,513,1039,1054,1061,1027,796,862,876,1210,1401,1257
Salvador,1811,1687,1687,1687,2449,2517,2899,2297,1964,2362,2798
San Andrés,150,127,153,142,145,136,112,125,124,155,198
San Isidro,,,,,,,,,,,
San Pablo  T,,,,,,,,,,18,27
Torcuato Di Tella,170,187,193,192,193,98,198,97,113,129,192
Total Institutos Universitarios,463,594,479,430,434,888,957,700,827,927,1047
CEMIC,,20,30,30,23,47,29,37,54,53,42
Cs de la Salud de la Fundación Barceló,255,369,278,214,191,167,197,271,294,281,371
Escuela Argentina de Negocios (3),,,,,,407,431,39,39,104,115
Escuela de Medicina del Hospital Italiano,,9,35,32,25,26,45,46,90,69,46
Escuela Universitaria de Teología,1,8,3,3,1,5,2,3,4,2,3
ESEADE,,,,,,,,,3,5,11
Gran Rosario,,,,,,,,,0,13,42
ISEDET,,,,,6,11,17,33,39,38,47
Italiano de Rosario,,,,20,23,38,54,45,62,56,123
ITBA,207,188,133,131,165,187,182,226,242,306,247
River Plate,,,,,,,,,,,
