,Rama,Rama,Rama,Rama,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales,Ciencias Sociales
,Total Ciencias Sociales,Total Ciencias Sociales,Total Ciencias Sociales,Total Ciencias Sociales,"Ciencias Políticas, Relaciones Internacionales y Diplomacia","Ciencias Políticas, Relaciones Internacionales y Diplomacia","Ciencias Políticas, Relaciones Internacionales y Diplomacia","Ciencias Políticas, Relaciones Internacionales y Diplomacia",Ciencias de la Información y la Comunicación,Ciencias de la Información y la Comunicación,Ciencias de la Información y la Comunicación,Ciencias de la Información y la Comunicación,Demografía y Geografía,Demografía y Geografía,Demografía y Geografía,Demografía y Geografía,Derecho,Derecho,Derecho,Derecho,Economía y Administración,Economía y Administración,Economía y Administración,Economía y Administración,Otras Ciencias Sociales,Otras Ciencias Sociales,Otras Ciencias Sociales,Otras Ciencias Sociales,Relaciones Institucionales y Humanas,Relaciones Institucionales y Humanas,Relaciones Institucionales y Humanas,Relaciones Institucionales y Humanas,"Sociología, Antropología y Servicio Social","Sociología, Antropología y Servicio Social","Sociología, Antropología y Servicio Social","Sociología, Antropología y Servicio Social"
,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
Patagonia Austral,2492,956,1536,26,,,,,104,33,71,0,418,169,249,13,,,,,1269,424,845,13,,,,,,,,,701,330,371,0
Patagonia S. J. Bosco,7659,1830,5829,189,352,136,216,7,139,43,96,4,528,114,414,39,2383,629,1754,71,3846,842,3004,61,,,,,,,,,411,66,345,7
Quilmes,13629,3030,10599,401,,,,,943,282,661,30,1065,231,834,81,,,,,10196,2120,8076,228,,,,,,,,,1425,397,1028,62
Río Cuarto,5046,1151,3895,210,215,30,185,13,485,133,352,17,164,26,138,17,1313,306,1007,49,2869,656,2213,114,,,,,,,,,,,,
Río Negro,2680,1189,1491,59,,,,,80,29,51,0,314,134,180,3,431,232,199,27,1218,538,680,20,411,176,235,8,,,,,226,80,146,1
Rosario,23303,3147,20156,6209,2215,394,1821,4028,1979,357,1622,183,,,,,6948,1574,5374,1265,10120,364,9756,606,70,26,44,8,,,,,1971,432,1539,119
Salta,9150,1826,7324,76,,,,,1514,338,1176,9,6,0,6,3,,,,,7356,1437,5919,57,,,,,,,,,274,51,223,7
San Juan,8489,1468,7021,268,273,36,237,9,832,191,641,19,1019,139,880,39,1876,310,1566,35,3407,613,2794,134,,,,,,,,,1082,179,903,32
San Luis,2594,631,1963,88,2,0,2,0,669,157,512,33,151,43,108,8,484,176,308,1,1082,221,861,33,,,,,,,,,206,34,172,13
San Martín,6664,1933,4731,614,307,106,201,6,430,173,257,82,613,250,363,39,,,,,4637,1211,3426,471,,,,,,,,,677,193,484,16
Santiago del Estero,3894,757,3137,161,,,,,0,0,0,11,,,,,,,,,3094,602,2492,103,,,,,,,,,800,155,645,47
Sur,6859,1196,5663,375,,,,,,,,,1046,193,853,64,2349,452,1897,84,3464,551,2913,227,,,,,,,,,,,,
Tecnológica Nacional,3528,1168,2360,515,,,,,,,,,419,135,284,40,,,,,3109,1033,2076,475,,,,,,,,,,,,
Tierra del Fuego,372,372,,,56,56,,,,,,,26,26,,,,,,,208,208,,,,,,,,,,,82,82,,
Tres de Febrero,5093,2358,2735,239,1538,853,685,103,,,,,76,25,51,6,35,0,35,0,3188,1321,1867,124,256,159,97,6,,,,,,,,
Tucumán,22205,3893,18312,1065,,,,,2159,426,1733,36,436,146,290,0,11632,1885,9747,705,6129,903,5226,301,,,,,,,,,1849,533,1316,23
Villa María,2354,824,1530,124,384,144,240,11,201,110,91,6,,,,,,,,,1240,390,850,65,,,,,,,,,529,180,349,42
Villa Mercedes,51,51,,,,,,,18,18,,,,,,,,,,,33,33,,,,,,,,,,,,,,
Total Institutos Universitarios,9654,2761,6893,1561,403,158,245,194,79,25,54,6,36,17,19,0,1041,41,1000,106,4054,1311,2743,819,2501,1008,1493,268,1478,201,1277,151,62,0,62,17
Aeronáutico,3849,576,3273,733,,,,,,,,,,,,,,,,,2371,375,1996,582,,,,,1478,201,1277,151,,,,
Instituto Univ. del Ejército,1465,874,591,203,227,158,69,41,,,,,36,17,19,0,,,,,1202,699,503,162,,,,,,,,,,,,
Gendarmería,1254,421,833,187,,,,,79,25,54,6,,,,,,,,,119,49,70,13,1056,347,709,168,,,,,,,,
IUNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naval,427,179,248,62,145,0,145,50,,,,,,,,,,,,,282,179,103,12,,,,,,,,,,,,
Policía Federal Argentina,2595,702,1893,234,31,0,31,5,,,,,,,,,1041,41,1000,106,16,0,16,6,1445,661,784,100,,,,,62,0,62,17
Seguridad Marítima,64,9,55,142,0,0,0,98,,,,,,,,,,,,,64,9,55,44,,,,,,,,,,,,
Total Universidad Provincial,5411,1458,3953,234,,,,,683,183,500,46,755,234,521,28,,,,,1940,496,1444,83,1830,501,1329,72,,,,,203,44,159,5
Autónoma de Entre Ríos,5411,1458,3953,234,,,,,683,183,500,46,755,234,521,28,,,,,1940,496,1444,83,1830,501,1329,72,,,,,203,44,159,5
