,Rama,Rama,Rama,Rama,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina,Disciplina
,Total Ciencias Humanas,Total Ciencias Humanas,Total Ciencias Humanas,Total Ciencias Humanas,Arqueología,Arqueología,Arqueología,Arqueología,Artes,Artes,Artes,Artes,Educación,Educación,Educación,Educación,Filosofía,Filosofía,Filosofía,Filosofía,Historia,Historia,Historia,Historia,Letras e Idiomas,Letras e Idiomas,Psicología,Psicología,Psicología,Psicología,Teología,Teología,Teología,Teología
Institución,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
Sur,2029,473,1556,100,,,,,104,3,101,8,273,84,189,39,331,96,235,7,711,160,551,19,610,27,,,,,,,,
Tecnológica Nacional,1047,316,731,72,,,,,,,,,765,316,449,41,,,,,,,,,282,31,,,,,,,,
Tierra del Fuego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres de Febrero,4752,2012,2740,156,,,,,2096,841,1255,36,1409,608,801,97,80,48,32,2,1167,515,652,21,,,,,,,,,,
Tucumán,15482,3839,11643,283,156,15,141,8,3397,999,2398,68,2686,653,2033,75,269,53,216,5,931,290,641,7,2370,21,5673,1217,4456,99,,,,
Villa María,1016,517,499,38,,,,,193,64,129,7,615,386,229,25,,,,,,,,,208,6,,,,,,,,
Villa Mercedes,35,35,,,,,,,,,,,35,35,,,,,,,,,,,,,,,,,,,,
Total Institutos Universitarios,14829,3946,10883,188,,,,,14661,3844,10817,156,168,102,66,32,,,,,,,,,,,,,,,,,,
Aeronáutico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instituto Univ. del Ejército,17,17,0,12,,,,,,,,,17,17,0,12,,,,,,,,,,,,,,,,,,
Gendarmería,48,30,18,12,,,,,,,,,48,30,18,12,,,,,,,,,,,,,,,,,,
IUNA,14661,3844,10817,156,,,,,14661,3844,10817,156,,,,,,,,,,,,,,,,,,,,,,
Naval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policía Federal Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seguridad Marítima,103,55,48,8,,,,,,,,,103,55,48,8,,,,,,,,,,,,,,,,,,
Total Universidad Provincial,10364,2964,7400,257,,,,,933,276,657,1,2297,667,1630,86,154,36,118,1,653,176,477,15,1075,16,5252,1506,3746,138,,,,
Autónoma de Entre Ríos,10364,2964,7400,257,,,,,933,276,657,1,2297,667,1630,86,154,36,118,1,653,176,477,15,1075,16,5252,1506,3746,138,,,,
