,Total,Grupos de edad,Grupos de edad,Grupos de edad,Grupos de edad,Grupos de edad %,Grupos de edad %,Grupos de edad %,Grupos de edad %
Institución,Total,<19,20-24,25-29,>30,<19,20-24,25-29,>30
Total de las Instituciones,393132,48693,153152,85898,99196,12.4,39,21.8,25.2
Total Universidades Privadas,380615,45987,146987,83692,97756,12.1,38.6,22,25.7
Abierta Interamericana,20464,2285,7051,5150,5978,11.2,34.5,25.2,29.2
Aconcagua,7053,607,2744,2185,1517,8.6,38.9,31,21.5
Adventista del Plata,3354,309,1627,917,501,9.2,48.5,27.3,14.9
Argentina de la Empresa,26767,6639,12020,5343,2765,24.8,44.9,20,10.3
Argentina John F. Kennedy,8737,226,1458,2472,4581,2.6,16.7,28.3,52.4
Atlántida Argentina,1228,40,431,335,422,3.3,35.1,27.3,34.4
Austral,3278,862,1312,311,793,26.3,40,9.5,24.2
Belgrano,12972,1769,6566,3315,1322,13.6,50.6,25.6,10.2
Blas Pascal,9189,530,2566,2139,3954,5.8,27.9,23.3,43
CAECE,4795,560,2063,1032,1140,11.7,43,21.5,23.8
Católica Argentina,15429,856,9341,3296,1936,5.5,60.5,21.4,12.5
Católica de Córdoba,8194,1225,4109,1620,1240,14.9,50.1,19.8,15.1
Católica de Cuyo,7482,1224,3862,1661,735,16.4,51.6,22.2,9.8
Católica de La Plata,8643,702,3224,2221,2496,8.1,37.3,25.7,28.9
Católica de Salta,25650,2783,8913,6173,7781,10.8,34.7,24.1,30.3
Católica de Santa Fe,5936,880,2521,1532,1003,14.8,42.5,25.8,16.9
Católica de Santiago del Estero,7156,1195,3508,1443,1010,16.7,49,20.2,14.1
CEMA,749,152,462,89,46,20.3,61.7,11.9,6.1
Centro Educativo Latinoamericano,3976,298,1542,1137,999,7.5,38.8,28.6,25.1
Champagnat,2846,,,,,,,,
Ciencias Empresariales y Sociales,14551,1817,6602,3750,2382,12.5,45.4,25.8,16.4
Cine,1312,148,724,322,118,11.3,55.2,24.5,9
Concepción del Uruguay,3354,,,,,,,,
Congreso,2423,86,805,852,680,3.5,33.2,35.2,28.1
Cuenca del Plata,6871,1193,3546,1212,920,17.4,51.6,17.6,13.4
Empresarial Siglo 21,49949,2680,12131,12638,22500,5.4,24.3,25.3,45
Este,635,91,249,128,167,14.3,39.2,20.2,26.3
FASTA,8141,414,2049,2065,3613,5.1,25.2,25.4,44.4
Favaloro,1502,187,657,312,346,12.5,43.7,20.8,23
Flores,4369,384,1442,1107,1436,8.8,33,25.3,32.9
Gastón Dachary,2413,105,990,580,738,4.4,41,24,30.6
ISALUD,3817,69,467,609,2672,1.8,12.2,16,70
Juan Agustín Maza,3274,485,1686,809,294,14.8,51.5,24.7,9
Madres de Plaza de Mayo,327,3,35,68,221,0.9,10.7,20.8,67.6
Maimónides,12644,186,1330,1906,9222,1.5,10.5,15.1,72.9
Marina Mercante,4207,89,993,1383,1742,2.1,23.6,32.9,41.4
Mendoza,8736,1220,4153,2203,1160,14,47.5,25.2,13.3
Metropolitana,399,79,172,52,96,19.8,43.1,13,24.1
Morón,16572,1967,5817,3982,4806,11.9,35.1,24,29
Museo Social Argentino,3050,185,1016,888,961,6.1,33.3,29.1,31.5
Norte Santo Tomás de Aquino,6490,699,3062,1543,1186,10.8,47.2,23.8,18.3
Palermo,13182,2554,5962,2756,1910,19.4,45.2,20.9,14.5
Salvador,25443,7515,15885,1918,125,29.5,62.4,7.5,0.5
San Andrés,1014,227,776,11,0,22.4,76.5,1.1,0
San Isidro,114,8,41,21,44,7,36,18.4,38.6
San Pablo  T,755,61,347,157,190,8.1,46,20.8,25.2
Torcuato Di Tella,1173,393,725,47,8,33.5,61.8,4,0.7
Total Institutos Universitarios,12517,2706,6165,2206,1440,21.6,49.3,17.6,11.5
CEMIC,451,37,221,111,82,8.2,49,24.6,18.2
Cs de la Salud de la Fundación Barceló,4825,807,2243,1047,728,16.7,46.5,21.7,15.1
Escuela Argentina de Negocios,1247,39,732,421,55,3.1,58.7,33.8,4.4
Escuela de Medicina del Hospital Italiano,397,45,197,85,70,11.3,49.6,21.4,17.6
Escuela Universitaria de Teología,87,5,12,20,50,5.7,13.8,23,57.5
ESEADE,116,5,38,29,44,4.3,32.8,25,37.9
Gran Rosario,2752,628,1556,379,189,22.8,56.5,13.8,6.9
ISEDET,56,0,11,19,26,0,19.6,33.9,46.4
Italiano de Rosario,659,65,352,76,166,9.9,53.4,11.5,25.2
ITBA,1851,1067,784,0,0,57.6,42.4,0,0
River Plate,76,8,19,19,30,10.5,25,25,39.5
