,-,Rama,Rama,Rama,Rama,Rama,-,-,-,-,-,-,-,-,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,Ciencias de la Salud,-,-,-,-,-,-,-,-
0,Institución,Total,Ciencias,de,la,Salud,-,Medicina,,-,-,Odontología,,-,Paramédicas,y,Auxiliares,de,la,Medicina,Salud,Pública,-,Sanidad,,-,-,Veterinaria,,-
1,-,EST,NI,RE,EGRE,EST,-,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
38,Rosario,16.608,3.290,13.318,1.728,9.690,-,1.901,7.789,1.323,1.745,321,1.424,142,3.581,802,2.779,209,-,-,-,-,-,-,-,-,1.592,266,1.326,54
39,Salta,4.897,1.175,3.722,160,-,-,-,-,-,-,-,-,-,4.828,1.175,3.653,159,-,-,-,-,69,0,69,1,-,-,-,-
40,San Juan,424,143,281,70,-,-,-,-,-,-,-,-,-,424,143,281,70,-,-,-,-,-,-,-,-,-,-,-,-
41,San Luis,1.521,606,915,26,-,-,-,-,-,-,-,-,-,1.508,606,902,24,-,-,-,-,-,-,-,-,13,0,13,2
42,San Martín,1.608,360,1.248,231,70,-,29,41,19,-,-,-,-,1.538,331,1.207,212,-,-,-,-,-,-,-,-,-,-,-,-
43,Santiago del Estero,1.823,251,1.572,167,-,-,-,-,-,-,-,-,-,956,98,858,89,-,-,-,-,867,153,714,78,-,-,-,-
44,Sur,857,177,680,100,347,-,60,287,52,-,-,-,-,510,117,393,48,-,-,-,-,-,-,-,-,-,-,-,-
45,Tecnológica Nacional,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,Tierra del Fuego,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,Tres de Febrero,346,174,172,33,-,-,-,-,-,-,-,-,-,346,174,172,33,-,-,-,-,-,-,-,-,-,-,-,-
48,Tucumán,9.671,990,8.681,556,3.003,-,259,2.744,243,1.376,175,1.201,104,4.491,411,4.080,183,-,-,-,-,-,-,-,-,801,145,656,26
49,Villa María,805,401,404,4,-,-,-,-,-,-,-,-,-,389,271,118,2,-,-,-,-,-,-,-,-,416,130,286,2
50,Villa Mercedes,528,528,-,-,-,-,-,-,-,-,-,-,-,528,528,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,Total Institutos Universitarios,556,171,385,131,-,-,-,-,-,-,-,-,-,524,163,361,99,-,-,-,-,32,8,24,32,-,-,-,-
52,Aeronáutico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,Instituto Univ. del Ejército,119,28,91,22,-,-,-,-,-,-,-,-,-,119,28,91,22,-,-,-,-,-,-,-,-,-,-,-,-
54,Gendarmería,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,IUNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,Naval,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,Policía Federal Argentina,405,135,270,77,-,-,-,-,-,-,-,-,-,405,135,270,77,-,-,-,-,-,-,-,-,-,-,-,-
58,Seguridad Marítima,32,8,24,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,8,24,32,-,-,-,-
59,Total Universidad Provincial,1.401,461,940,159,-,-,-,-,-,-,-,-,-,1.401,461,940,159,-,-,-,-,-,-,-,-,-,-,-,-
60,Autónoma de Entre Ríos,1.401,461,940,159,-,-,-,-,-,-,-,-,-,1.401,461,940,159,-,-,-,-,-,-,-,-,-,-,-,-
