,-,Rama,Rama,Rama,Rama,-,-,-,-,-,-,-,-,Ciencias Humanas,Ciencias Humanas,Ciencias Humanas,Ciencias Humanas,-,-,-,-,-,-,-,-
0,Institución,Total,Ciencias,Humanas,,-,Arqueología,,-,-,Artes,,-,Educación,,,,-,Filosofía,,-,-,Historia,,-
1,-,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
28,Misiones,3.334,1.161,2.173,132,-,-,-,-,536,178,358,30,1.116,510,606,54,-,-,-,-,512,164,348,4
29,Moreno,356,109,247,5,-,-,-,-,-,-,-,-,356,109,247,5,-,-,-,-,-,-,-,-
30,Nordeste,4.711,1.244,3.467,203,-,-,-,-,298,220,78,0,2.872,562,2.310,162,223,69,154,5,770,261,509,32
31,Noroeste de la PBA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Oeste,436,132,304,21,-,-,-,-,-,-,-,-,436,132,304,21,-,-,-,-,-,-,-,-
33,Patagonia Austral,2.046,752,1.294,85,-,-,-,-,-,-,-,-,1.661,638,1.023,66,-,-,-,-,98,35,63,3
34,Patagonia S. J. Bosco,1.108,372,736,34,-,-,-,-,-,-,-,-,362,203,159,16,-,-,-,-,474,111,363,10
35,Quilmes,3.729,1.224,2.505,214,-,-,-,-,760,198,562,24,2.771,828,1.943,190,-,-,-,-,198,198,0,0
36,Rosario,13.607,3.599,10.008,497,-,-,-,-,3.753,1.149,2.604,125,483,156,327,43,556,144,412,7,1.067,281,786,21
37,Río Cuarto,3.294,677,2.617,213,-,-,-,-,-,-,-,-,2.317,504,1.813,167,119,17,102,6,232,40,192,9
38,Río Negro,1.349,685,664,38,25,15,10,0,272,134,138,0,672,372,300,25,-,-,-,-,-,-,-,-
39,Salta,3.060,464,2.596,52,-,-,-,-,10,0,10,6,1.244,163,1.081,20,281,63,218,6,835,109,726,12
40,San Juan,3.261,662,2.599,80,-,-,-,-,884,274,610,29,603,90,513,7,151,37,114,2,528,64,464,17
41,San Luis,3.820,892,2.928,239,-,-,-,-,396,229,167,4,1.472,251,1.221,127,-,-,-,-,-,-,-,-
42,San Martín,2.483,881,1.602,233,-,-,-,-,173,76,97,29,1.801,633,1.168,177,240,71,169,5,-,-,-,-
43,Santiago del Estero,7.017,1.929,5.088,899,-,-,-,-,-,-,-,-,6.631,1.816,4.815,892,88,47,41,0,128,0,128,2
