,Rama,,,,Ciencias Sociales,,,,
,EST NI RE EGRE,EST NI RE EGRE,EST NI RE,EGRE,EST NI RE EGRE,EST,NI RE,EGRE,EST NI RE EGRE
Misiones,9.801 2.974 6.827 308,- - - -,1.485 536 949,32,983 397 586 24,-,- -,-,4.701 1.224 3.477 173
Moreno,2.779 1.137 1.642 0,- - - -,323 119 204,0,0 0 0 0,-,- -,-,1.481 632 849 0
Nordeste,23.471 5.545 17.926 1.528,- - - -,1.313 263 1.050,79,983 323 660 43,11980,2.528 9.452,891,7.324 2.010 5.314 417
Noroeste de la PBA,3.215 752 2.463 124,- - - -,- - -,-,- - - -,749,160 589,30,2.466 592 1.874 94
Oeste,534 285 249 0,- - - -,- - -,-,- - - -,-,- -,-,534 285 249 0
Patagonia Austral,2.492 956 1.536 26,- - - -,104 33 71,0,418 169 249 13,-,- -,-,1.269 424 845 13
Patagonia S. J. Bosco,7.659 1.830 5.829 189,352 136 216 7,139 43 96,4,528 114 414 39,2383,629 1.754,71,3.846 842 3.004 61
Quilmes,13.629 3.030 10.599 401,- - - -,943 282 661,30,1.065 231 834 81,-,- -,-,10.196 2.120 8.076 228
Río Cuarto,5.046 1.151 3.895 210,215 30 185 13,485 133 352,17,164 26 138 17,1313,306 1.007,49,2.869 656 2.213 114
Río Negro,2.680 1.189 1.491 59,- - - -,80 29 51,0,314 134 180 3,431,232 199,27,1.218 538 680 20
Rosario,23.303 3.147 20.156 6.209,2.215 394 1.821 4.028,1.979 357 1.622,183,- - - -,6948,1.574 5.374,1265,10.120 364 9.756 606
Salta,9.150 1.826 7.324 76,- - - -,1.514 338 1.176,9,6 0 6 3,-,- -,-,7.356 1.437 5.919 57
San Juan,8.489 1.468 7.021 268,273 36 237 9,832 191 641,19,1.019 139 880 39,1876,310 1.566,35,3.407 613 2.794 134
San Luis,2.594 631 1.963 88,2 0 2 0,669 157 512,33,151 43 108 8,484,176 308,1,1.082 221 861 33
San Martín,6.664 1.933 4.731 614,307 106 201 6,430 173 257,82,613 250 363 39,-,- -,-,4.637 1.211 3.426 471
Santiago del Estero,3.894 757 3.137 161,- - - -,0 0 0,11,- - - -,-,- -,-,3.094 602 2.492 103
Sur,6.859 1.196 5.663 375,- - - -,- - -,-,1.046 193 853 64,2349,452 1.897,84,3.464 551 2.913 227
Tecnológica Nacional,3.528 1.168 2.360 515,- - - -,- - -,-,419 135 284 40,-,- -,-,3.109 1.033 2.076 475
Tierra del Fuego,372 372 - -,56 56 - -,- - -,-,26 26 - -,-,- -,-,208 208 - -
Tres de Febrero,5.093 2.358 2.735 239,1.538 853 685 103,- - -,-,76 25 51 6,35,0 35,0,3.188 1.321 1.867 124
Tucumán,22.205 3.893 18.312 1.065,- - - -,2.159 426 1.733,36,436 146 290 0,11632,1.885 9.747,705,6.129 903 5.226 301
Villa María,2.354 824 1.530 124,384 144 240 11,201 110 91,6,- - - -,-,- -,-,1.240 390 850 65
Villa Mercedes,51 51 - -,- - - -,18 18 -,-,- - - -,-,- -,-,33 33 - -
Total Institutos Universitarios,9.654 2.761 6.893 1.561,403 158 245 194,79 25 54,6,36 17 19 0,1041,41 1.000,106,4.054 1.311 2.743 819
Aeronáutico,3.849 576 3.273 733,- - - -,- - -,-,- - - -,-,- -,-,2.371 375 1.996 582
Instituto Univ. del Ejército,1.465 874 591 203,227 158 69 41,- - -,-,36 17 19 0,-,- -,-,1.202 699 503 162
Gendarmería,1.254 421 833 187,- - - -,79 25 54,6,- - - -,-,- -,-,119 49 70 13
IUNA,- - - -,- - - -,- - -,-,- - - -,-,- -,-,- - - -
Naval,427 179 248 62,145 0 145 50,- - -,-,- - - -,-,- -,-,282 179 103 12
Policía Federal Argentina,2.595 702 1.893 234,31 0 31 5,- - -,-,- - - -,1041,41 1.000,106,16 0 16 6
Seguridad Marítima,64 9 55 142,0 0 0 98,- - -,-,- - - -,-,- -,-,64 9 55 44
Total Universidad Provincial,5.411 1.458 3.953 234,- - - -,683 183 500,46,755 234 521 28,-,- -,-,1.940 496 1.444 83
Autónoma de Entre Ríos,5.411 1.458 3.953 234,- - - -,683 183 500,46,755 234 521 28,-,- -,-,1.940 496 1.444 83
