"",,,Total,,,,Ciencias Aplicadas,,,Ciencias Básicas,,,Ciencias de la Salud,,,Ciencias Humanas,
Institución,,,,,,,,,,,,,,,,,
"",EST,NI,RE,,EGRE,EST,NI RE,EGRE,EST,NI RE,EGRE,EST,NI RE,EGRE,EST,NI RE,EGRE
La Matanza,36.338,6.237,30.101,,1.983,5.845,910 4.935,252,194,23 171,5,2.410,1.120 1.290,57,4.027,620 3.407,139
La Pampa,9.100,2.281,6.819,,469,1.709,424 1.285,85,1.097,279 818,49,1.069,129 940,121,2.498,816 1.682,67
La Plata,109.803,21.374,88.429,,6.094,29.541,5.019 24.522,1.300,4.357,1.101 3.256,295,15.804,2.715 13.089,1.504,26.141,5.820 20.321,858
La Rioja,18.589,4.878,13.711,,633,3.716,1.019 2.697,109,242,63 179,24,4.618,1.003 3.615,154,4.115,1.560 2.555,97
Lanús,12.825,3.262,9.563,,491,3.372,911 2.461,69,333,63 270,20,2.290,804 1.486,160,2.142,466 1.676,69
Litoral,44.268,9.937,34.331,,2.155,13.929,2.850 11.079,596,1.516,328 1.188,71,9.422,2.270 7.152,748,4.068,1.081 2.987,85
Lomas de Zamora,34.434,7.512,26.922,,2.515,4.002,1.392 2.610,387,25,22 3,3,,2 0 2,2,3.694,738 2.956,230
Luján,18.339,5.519,12.820,,888,2.317,544 1.773,91,676,163 513,29,,- - -,-,3.101,818 2.283,58
Mar del Plata,23.184,4.932,18.252,,1.158,6.085,1.130 4.955,369,1.120,300 820,47,1.474,265 1.209,37,5.214,1.072 4.142,180
Misiones,20.955,5.866,15.089,,820,4.792,939 3.853,254,1.397,280 1.117,57,1.631,512 1.119,69,3.334,1.161 2.173,132
Moreno,3.668,1.474,2.194,,5,461,156 305,0,72,72 0,0,,- - -,-,356,109 247,5
Nordeste,50.403,11.540,38.863,,3.087,10.833,2.119 8.714,614,2.903,555 2.348,66,8.485,2.077 6.408,676,4.711,1.244 3.467,203
