,-,Rama,Rama,Rama,Rama,Rama,-,-,-,-,-,Ciencias Básicas,Ciencias Básicas,Ciencias Básicas,Ciencias Básicas,-,-,-,-,-,-,-
0,Institución,Total,Ciencias,Básicas,,,-,Biología,,-,-,Física,,,,Matemática,,-,-,Química,,-
1,-,EST,NI,RE,EGRE,EST,-,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE,EST,NI,RE,EGRE
17,José C. Paz (1),-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Jujuy,373,92,281,9,315,-,92,223,9,-,-,-,-,41,0,41,0,17,0,17,0
19,La Matanza,194,23,171,5,,-,-,-,-,-,-,-,-,194,23,171,5,-,-,-,-
20,La Pampa,1.097,279,818,49,609,-,134,475,24,46,14,32,2,220,73,147,8,222,58,164,15
21,La Plata,4.357,1.101,3.256,295,2.832,-,515,2.317,95,379,89,290,10,336,110,226,9,810,387,423,181
22,La Rioja,242,63,179,24,233,-,63,170,15,-,-,-,-,9,0,9,9,-,-,-,-
23,Lanús,333,63,270,20,333,-,63,270,20,-,-,-,-,-,-,-,-,-,-,-,-
24,Litoral,1.516,328,1.188,71,816,-,162,654,40,-,-,-,-,242,67,175,14,458,99,359,17
25,Lomas de Zamora,25,22,3,3,22,-,22,0,0,-,-,-,-,3,0,3,3,-,-,-,-
26,Luján,676,163,513,29,676,-,163,513,29,-,-,-,-,-,-,-,-,-,-,-,-
27,Mar del Plata,1.120,300,820,47,600,-,141,459,30,101,29,72,2,225,78,147,8,194,52,142,7
28,Misiones,1.397,280,1.117,57,881,-,164,717,45,132,41,91,6,333,58,275,6,51,17,34,0
29,Moreno,72,72,0,0,72,-,72,0,0,0,0,0,0,-,-,-,-,-,-,-,-
30,Nordeste,2.903,555,2.348,66,1.314,-,258,1.056,27,161,44,117,5,525,113,412,14,903,140,763,20
31,Noroeste de la PBA,235,45,190,6,235,-,45,190,6,-,-,-,-,-,-,-,-,-,-,-,-
32,Oeste,0,0,0,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Patagonia Austral,279,79,200,5,155,-,35,120,2,-,-,-,-,124,44,80,3,-,-,-,-
34,Patagonia S. J. Bosco,1.474,372,1.102,54,1.219,-,297,922,49,-,-,-,-,70,15,55,1,185,60,125,4
35,Quilmes,0,0,0,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Río Cuarto,890,186,704,74,528,-,99,429,44,46,11,35,2,111,29,82,5,205,47,158,23
37,Río Negro,476,243,233,7,430,-,224,206,6,0,0,0,0,-,-,-,-,46,19,27,1
38,Rosario,1.030,297,733,251,138,-,45,93,0,134,42,92,3,259,70,189,70,499,140,359,178
39,Salta,2.972,653,2.319,81,1.802,-,351,1.451,54,167,54,113,6,430,106,324,8,573,142,431,13
40,San Juan,1.173,264,909,48,354,-,59,295,32,101,17,84,3,535,134,401,10,183,54,129,3
41,San Luis,983,219,764,65,516,-,96,420,38,40,7,33,2,143,29,114,8,284,87,197,17
42,San Martín,294,95,199,3,223,-,78,145,1,71,17,54,2,-,-,-,-,-,-,-,-
43,Santiago del Estero,565,172,393,20,157,-,50,107,5,0,0,0,0,226,86,140,5,182,36,146,10
44,Sur,1.451,457,994,54,930,-,315,615,36,85,25,60,3,206,69,137,7,230,48,182,8
45,Tecnológica Nacional,974,73,901,545,633,-,0,633,347,24,0,24,1,289,73,216,8,28,0,28,189
46,Tierra del Fuego,66,66,-,-,66,-,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,Tres de Febrero,258,94,164,5,258,-,94,164,5,-,-,-,-,-,-,-,-,-,-,-,-
48,Tucumán,2.040,585,1.455,55,1.064,-,328,736,35,106,34,72,0,208,96,112,3,662,127,535,17
49,Villa María,157,98,59,2,114,-,86,28,0,-,-,-,-,43,12,31,2,-,-,-,-
50,Villa Mercedes,37,37,-,-,37,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,Total Institutos Universitarios,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,Aeronáutico,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,Instituto Univ. del Ejército,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,Gendarmería,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,IUNA,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,Naval,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,Policía Federal Argentina,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,Seguridad Marítima,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,Total Universidad Provincial,1.138,350,788,42,485,-,154,331,15,90,38,52,1,422,121,301,18,141,37,104,8
60,Autónoma de Entre Ríos,1.138,350,788,42,485,-,154,331,15,90,38,52,1,422,121,301,18,141,37,104,8
